validation_id,model_id,runtime_secs,MeanSquaredError_mean,MeanSquaredError_std
p01,AutoETS-auto_True,3.4007761478424072,4.459679675947751,2.446335011158911
p01,StatsForecastAutoCES-model_Z,53.18890881538391,4.686850024349438,2.4456565810003923
p01,StatsForecastAutoETS-model_ANN,2.5684776306152344,4.195521711079987,2.4020880282986874
p01,StatsForecastAutoETS-model_MNN,0.8065910339355469,4.195521711079987,2.4020880282986874
p01,StatsForecastAutoTheta-decomposition_type_additive,52.7468683719635,4.192593399178449,2.4034237991630976
p01,StatsForecastAutoTheta-decomposition_type_multiplicative,8.40936017036438,4.192593399178449,2.4034237991630976
p05,AutoETS-auto_True,1.732529878616333,2.4256526098123903,1.0911791672028384
p05,StatsForecastAutoCES-model_Z,41.89007258415222,2.3207945181712977,1.2706825007154965
p05,StatsForecastAutoETS-model_ANN,0.8373918533325195,2.31278073501501,1.408549249417296
p05,StatsForecastAutoETS-model_MNN,0.753253698348999,2.31278073501501,1.408549249417296
p05,StatsForecastAutoTheta-decomposition_type_additive,25.264835357666016,2.313570111912994,1.4088419011289748
p05,StatsForecastAutoTheta-decomposition_type_multiplicative,8.432094097137451,2.313570111912994,1.4088419011289748
p06,AutoETS-auto_True,1.881751537322998,4.507108704334133,3.0669637196027484
p06,StatsForecastAutoCES-model_Z,30.714539527893063,3.3909760229250625,1.8668622078917132
p06,StatsForecastAutoETS-model_ANN,2.3176932334899902,3.2812497459400447,1.9534328846593427
p06,StatsForecastAutoETS-model_MNN,0.9383149147033693,3.2812497459400447,1.9534328846593427
p06,StatsForecastAutoTheta-decomposition_type_additive,25.30604767799377,3.286409120172348,1.9465270434357584
p06,StatsForecastAutoTheta-decomposition_type_multiplicative,8.818377494812012,3.286409120172348,1.9465270434357584
