validation_id,model_id,runtime_secs,PinballLoss_mean,PinballLoss_std
p02,ARCH-p_36-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,11.433538436889648,4.814564579867534e+21,1.6367451763213209e+22
p02,ARCH-p_36-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,20.14615488052368,1.234782366781072e+97,4.2774115911099315e+97
p02,ARCH-p_36-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,18.963770866394043,1.2835365050209517e+66,4.446300880131347e+66
p02,ARCH-p_36-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,11.724149465560911,2.714197459619627e+57,9.40225580367114e+57
p02,ARCH-p_36-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,11.42288851737976,4.451344294414483e+31,1.5419908959815435e+32
p02,ARCH-p_36-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,30.0687518119812,704534873328.2166,2341195205381.4346
p02,ARCH-p_36-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,10.502815961837769,7.893030320577541e+88,2.7342259081843926e+89
p02,ARCH-p_36-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,14.76010537147522,2.707936261196919e+52,9.380566376102335e+52
p02,ARCH-p_36-q_12-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,14.407855749130247,2.677071207887588e+145,9.273646695082172e+145
p02,ARCH-p_36-q_24-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,9.745912313461304,3.6686108154540244e+99,1.2708440651126122e+100
p02,ARCH-p_36-q_24-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,9.109463930130005,6.416178889380208e+147,2.2226295653714742e+148
p02,ARCH-p_36-q_24-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,18.08623671531677,1.5607186575620836e+21,5.406420220240432e+21
