validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p02,HFTransformersForecaster-TimeSeriesTransformer,210.0862581729889,2.0221394188500437,2.336401679389163,2.3896335516914435,3.7566772603062053,2.374074038049269,3.3758657510512364,6.9185780756135795,5.416436303747934,4.753357438302872,1.775031866867865,1.8352442162311702,6.776198237673107,3.644136486481157,1.8897175181696915
p03,HFTransformersForecaster-TimeSeriesTransformer,197.19098496437073,1.648574350242149,1.5091243911040293,4.589145648176315,3.68185689062716,2.254711788348024,3.2785649668253005,4.908258750505491,5.269371450625733,9.82947365868841,3.8595618735965944,1.644363384701611,2.1056178796042775,3.7148854194204244,2.3422875066498077
p04,HFTransformersForecaster-TimeSeriesTransformer,165.6851670742035,1.1137402657564004,1.7528552327310245,2.339682614257635,0.9318389350273943,4.6465428399681965,4.140956146168122,2.872098864833534,1.1256994011445167,2.8781050176282568,1.5163585012930028,4.217060519601127,,2.5031762125826553,1.3546591800640289
p10,HFTransformersForecaster-TimeSeriesTransformer,165.05046486854553,2.022813065577795,2.1675072047416166,1.5500660304594263,1.3297896546410335,2.287302982821921,3.0465853966258405,1.9312035616150183,2.1464984252822723,3.073582936544103,2.183474846821872,1.7230778052183686,,2.1329001736681152,0.5434079999166457
p11,HFTransformersForecaster-TimeSeriesTransformer,164.613116979599,1.3746514899039182,3.0764863754559686,5.17721619138091,2.2256107187226934,2.6487198949309994,3.1817633639364624,3.040699700617096,2.423037192338968,4.0598428338179815,4.8659559022982535,2.2300539349739292,,3.118548872579744,1.1628335325956365
p12,HFTransformersForecaster-TimeSeriesTransformer,165.3559811115265,1.223766930339075,9.991554319356029,6.437959062367125,5.6141198425750325,3.2695292830630454,1.3392318077188927,2.2013015401313156,6.684351156997805,1.5053629127804993,3.912971767037187,3.700770527551955,,4.170992649992541,2.7605842794124382
