validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p02,ChronosForecaster-T5-Base,18.658447980880737,1.4786858034157242,2.2521686272409753,3.2743062786087123,4.2292327547787565,3.3968978704792487,2.358048643632456,2.777779634676143,0.8055379215631927,1.2061724708846275,3.4350029153109776,3.0525039271429693,1.558140931399287,2.4853731482610892,1.0533604378781756
p03,ChronosForecaster-T5-Base,10.139638185501099,1.5271829266175987,0.8892129291083204,4.491538788775809,2.5345543118987193,1.6387648662819836,2.443924701610625,3.7315881623908345,5.271269608859913,8.67922590065959,2.0515910478156285,0.35733135212437683,1.9450434699287251,2.963435672172677,2.2993216662309677
p04,ChronosForecaster-T5-Base,6.660475015640259,0.9273785083464812,1.6435074086111812,1.7583451248323219,1.8636216381346018,2.7429139705772423,2.75193997548056,1.7107285839365212,1.8852645279643836,1.517809008564068,1.917573919574855,2.871441610106226,,1.9627749341934946,0.5960072963867263
p10,ChronosForecaster-T5-Base,6.624733924865723,1.89740439060297,2.3929228577576986,1.6502674838607332,1.6270150591577042,1.6144988444484676,1.8216100362707774,1.4975868732304887,0.7031685620171638,0.6121341137695299,0.5957798758654219,1.3767222455316341,,1.4353736675011446,0.5762481118648324
p11,ChronosForecaster-T5-Base,6.129584789276123,1.91264277213096,1.5350333835894576,3.9456641026448853,2.6769879303274484,3.1412272308778064,1.9792066518712008,1.8635634148103606,1.3537764538999941,4.194330090798134,5.439307903608325,1.3553037802973225,,2.672458519532354,1.3524847511302511
p12,ChronosForecaster-T5-Base,6.195416212081909,0.9061300479666748,2.4129439283977856,6.357609190695525,5.010324417143248,2.729451828799336,1.0988228310116994,2.2547023906566634,1.521040379010271,0.8266226296429069,2.2240420241441843,1.974523913521913,,2.4832921437263824,1.7295882474392905
