validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_normal-mean_AR-vol_EGARCH,17.564974546432495,1.5619852975422015,2.249606938950296,3.248320012746664,4.609374503268712,3.476272725018067,2.611507174891684,1.8845064986156768,0.7137513989390953,1.4135106463671627,1.0639480629561247,2.9710761196096573,0.6385128523313609,2.203531019269725,1.2196160206726405
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_normal-mean_HAR-vol_EGARCH,12.84705138206482,2.080389681631084,2.2435993892311425,3.2483900404314436,4.6136536860838095,3.475405415866277,2.591041685455208,1.881153965207094,0.7134818551986769,1.4152096407385792,1.0791545065321488,2.972360239040942,0.6383590397467255,2.2460165954302607,1.2028023310239815
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_normal-mean_AR-vol_EGARCH,17.122557401657104,1.537366251412036,2.3603946157023423,3.1964295938771063,4.7083909410946445,3.523238096704343,2.7747305632250483,1.9878942613216253,0.816600047047644,1.4553696530030182,0.9873090387883938,2.9250288240680766,0.5566628703785124,2.235784563051899,1.2441030555266759
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_normal-mean_HAR-vol_EGARCH,15.562362670898438,1.5817399156189362,2.3687875893904886,3.197014412803645,4.7124138376961495,3.489860254517267,2.7785619111096236,1.987314145011354,0.8200318940250291,1.414549955437724,0.9848270158719935,2.922419988688942,0.5533355135238682,2.2342380361412517,1.2423555788961311
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_normal-mean_AR-vol_EGARCH,21.544976472854614,1.647859502836846,2.3815974120273893,3.322916378962739,4.696287880500775,3.4981719207339337,2.836512855861035,1.978527901067184,0.836962281950777,1.4469526871694136,0.9360200543340403,2.8787877954711374,0.587686046040556,2.254023559746319,1.2438051573427784
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_normal-mean_HAR-vol_EGARCH,22.20086646080017,1.8316381460366817,2.405361456244654,3.2855247393396807,4.675508691736025,3.4952991961939426,2.7742410647097007,1.974176912209025,0.8313663665465972,1.404062950854593,0.9433224817240238,2.8749069541289156,0.5827121181946021,2.256510089826537,1.230728937769162
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_normal-mean_AR-vol_EGARCH,18.447142839431763,1.502744300792527,2.348726740130888,3.2912597783434263,4.7146957784068215,3.446651769578896,2.6169357495515384,1.8539518404181528,0.7402214907883736,1.3764776611702756,0.9511746088040464,2.9277725773131777,0.6233430187491548,2.1994962761706063,1.2524433432963213
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_normal-mean_HAR-vol_EGARCH,18.73013734817505,2.0564856932589772,2.290260412120094,3.292484682851823,4.7175655574476245,3.444342889908638,2.6094856246796354,1.8581326460084242,0.7335647599618238,1.3735893431493678,0.9409537325165187,2.9281495888308307,0.6241021701610118,2.2390930917412306,1.2360951844545056
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_normal-mean_AR-vol_EGARCH,23.70498776435852,1.8949191080420926,2.503484015465715,3.2053625462557584,4.847660064669852,3.5201925425160456,2.753769137626634,1.960681292631233,0.8362263119070826,1.3567502438606593,0.8286526458373722,2.870421617938773,0.542147141707173,2.2600222223715325,1.2763274104484539
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_normal-mean_HAR-vol_EGARCH,23.1384334564209,1.5233248792371834,2.523367737024539,3.2068397171336938,4.8426423256834115,3.505344776442185,2.788960921626864,1.9592167481432186,0.8367968028572308,1.3901792054666262,0.8653829115325552,2.8674675310853934,0.5341415608952548,2.236972093094013,1.285161701245382
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_normal-mean_AR-vol_EGARCH,27.640830755233765,1.7189786743663777,2.524629560938727,3.2942581164082965,4.774912371799233,3.481631237116569,2.7703711449004502,1.9725770269150091,0.8572027201153922,1.3435271974405927,0.7335605035636134,2.863526652391826,0.5802763649062225,2.2429542975718593,1.276098097552552
