validation_id,model_id,runtime_secs,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_fold_11_test,PinballLoss_mean,PinballLoss_std,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p02,AutoETS-auto_True,3.6022047996520996,0.3383566737348114,0.42057947035667964,0.716860617723434,0.4608155153114108,0.4690914470551524,0.46248684490350495,0.4645503258491353,0.46270759082830437,0.4881508765371983,0.4761820359177111,0.47960972093914717,0.48195470063438317,0.47677881831590607,0.08580555690197401,1.5786347280871071,4.508118003682108,4.967129975311056,3.2239666670205036,2.855629647269608,3.060525128815221,1.7073102129840756,3.692941727082036,6.265338619914928,4.308903013107426,6.056783435936278,1.2222144227305562,3.620624631828408,1.6691912167625993
p02,StatsForecastAutoCES-model_Z,61.79876255989075,0.4717880136850806,0.9007975259754389,1.3363117907610202,1.126271449757947,0.9611374596920277,0.7964483623372186,0.9351299989223479,1.032795058704085,1.9337901169061666,1.1578176998926533,1.0218373242931231,0.27273633651435386,0.9955717614534554,0.41474534731876544,1.6214221630285446,2.5388669662423933,3.561971513338975,3.245856447907186,3.014141279142168,2.540203225066368,2.715154891210504,2.8484610357238527,4.698053812128299,3.232841760295781,4.048267077914056,1.145506603450815,2.9342288979540787,0.9643081999894503
p02,StatsForecastAutoETS-model_ANN,2.7321724891662598,0.23884811204524053,0.3206249753860335,0.61559737001878,0.3617472691993354,0.35118058478440095,0.2784593464963506,0.4205906284456825,0.31290401819423375,1.148596784674224,0.1683889516495649,0.5174194536490458,0.16442051968973376,0.40823150118605217,0.2676316540455824,1.5558194710042366,2.851739708823871,3.363320859079648,2.9677136770008015,3.0199895594897357,2.310013221016171,2.899218200108471,3.5432946638038336,5.553971635179671,3.021025192414851,3.852082376850787,1.5775427279951308,3.0429776077306006,1.056278532076225
p02,StatsForecastAutoETS-model_MNN,0.8890509605407715,0.24010758187491155,0.2627536162470153,0.6425086043866012,0.24928411684861013,0.29318896224634483,0.28543780082756637,0.3648775291900484,0.26645909854664684,0.3479294897329771,0.4980773922485546,0.6211307336264322,0.18619734651261186,0.3548293560240266,0.15135267526857893,1.5558194710042366,2.851739708823871,3.363320859079648,2.9677136770008015,3.0199895594897357,2.310013221016171,2.899218200108471,3.5432946638038336,5.553971635179671,3.021025192414851,3.852082376850787,1.5775427279951308,3.0429776077306006,1.056278532076225
p02,StatsForecastAutoTheta-decomposition_type_additive,27.091785192489624,0.2516377578634357,0.27421522780425023,0.6398953599813914,0.40333536790476954,0.3102145777559943,0.291017121875452,0.40601540324588603,0.253669102307823,0.9491957986685966,0.2069073325442153,0.5665198149692479,0.16877445355885562,0.39344977653999313,0.2248962829984189,1.5564266463814804,2.8478888837138774,3.358944659593198,2.9645748628302266,3.0212370161024324,2.306810053031203,2.9056117505732497,3.543255950497202,5.552559165009266,3.017529069598529,3.8475421268645187,1.5789488752451704,3.0417774216200293,1.0554952646388496
p02,StatsForecastAutoTheta-decomposition_type_multiplicative,26.54676055908203,0.2516377578634357,0.27421522780425023,0.6398953599813914,0.40333536790476954,0.3102145777559943,0.291017121875452,0.40601540324588603,0.253669102307823,0.9491957986685966,0.2069073325442153,0.5665198149692479,0.16877445355885562,0.39344977653999313,0.2248962829984189,1.5564266463814804,2.8478888837138774,3.358944659593198,2.9645748628302266,3.0212370161024324,2.306810053031203,2.9056117505732497,3.543255950497202,5.552559165009266,3.017529069598529,3.8475421268645187,1.5789488752451704,3.0417774216200293,1.0554952646388496
p03,AutoETS-auto_True,1.0827136039733887,0.4093952120934561,0.40978937855215536,0.44818998298537,0.4447004118929291,0.45547885024090407,0.46087612699891284,0.4793060016102493,0.6939642642783629,0.5402871911515985,0.4899669118549004,0.4880340065124335,0.48424319808310046,0.483685961354531,0.07542250801900051,1.419423932300857,1.3486684098889,6.081420336111402,2.299010590103868,1.9843390221486747,2.5797118719768135,2.5947805254603025,6.471274017958811,9.63740984543146,5.725117493908272,0.5484418609892264,1.0650063126530132,3.479550351577634,2.8140879330471615
p03,StatsForecastAutoCES-model_Z,61.72586703300476,0.2935212176044782,0.23443571770356758,1.9592932605246702,0.7884335626992912,0.7657642506476904,0.9203880669756066,1.0158435404549047,2.3355986676199563,4.518490398277838,1.4760146984623543,0.3066754607194,0.5229527856823472,1.2614509689476754,1.220649694729612,1.0874246936978997,1.09039002875896,5.4867329752781355,2.396867662390762,2.3944768006666486,2.68424481403935,3.0698680779774996,5.961694031507421,10.51368252230029,3.9700619017314533,1.2598930247309859,1.6917704957491226,3.467258919069044,2.74045364375737
p03,StatsForecastAutoETS-model_ANN,0.33069825172424316,0.12745738515673183,0.14297949423121992,0.9702377591087622,0.2501004683756046,0.2569411508990622,0.1940189392153448,0.17569875484228006,1.3449646290376762,3.1422466681400962,0.7957043577172594,0.17004424373769117,0.17049077177351138,0.6450737185196034,0.8819123102367523,1.423659214228719,0.9542249331903994,5.195781240439603,2.384764343142152,2.135066047661217,2.763457014242813,2.5984236674483574,5.819124958355501,10.199296582518524,4.906746890659279,0.7895228869316506,2.2003200041395865,3.4475323152464825,2.686170619147958
p03,StatsForecastAutoETS-model_MNN,0.3163919448852539,0.1495910455298712,0.13762868305204579,1.135150106750197,0.2194448540739854,0.33989828065848005,0.19226149717271357,0.19138466412048089,1.8650075510052377,3.8505767101584527,0.32590493053226266,0.14405665321909128,0.2001341932395132,0.7292532641260278,1.1142732928983277,1.423659214228719,0.9542249331903994,5.195781240439603,2.384764343142152,2.135066047661217,2.763457014242813,2.5984236674483574,5.819124958355501,10.199296582518524,4.906746890659279,0.7895228869316506,2.2003200041395865,3.4475323152464825,2.686170619147958
p03,StatsForecastAutoTheta-decomposition_type_additive,29.02245545387268,0.13076044576863455,0.14665893655684256,1.0606365805574591,0.2258230929945907,0.28083707842836836,0.20056558283252868,0.18657631329778177,1.414246623863519,3.2727078070946876,0.6424053778913287,0.17453546154881927,0.17498128311501612,0.6592278819957981,0.9213605920672187,1.4236687065942901,0.9536934639814512,5.193412518592424,2.3855201060095372,2.1358725758443593,2.764122428892316,2.598423708564547,5.817669303501448,10.201768525214687,4.9044816244474,0.7907985345003711,2.203895717838742,3.4477772678317975,2.6860672937325165
p03,StatsForecastAutoTheta-decomposition_type_multiplicative,25.364806652069092,0.13076044576863455,0.14665893655684256,1.0606365805574591,0.2258230929945907,0.28083707842836836,0.20056558283252868,0.18657631329778177,1.414246623863519,3.2727078070946876,0.6424053778913287,0.17453546154881927,0.17498128311501612,0.6592278819957981,0.9213605920672187,1.4236687065942901,0.9536934639814512,5.193412518592424,2.3855201060095372,2.1358725758443593,2.764122428892316,2.598423708564547,5.817669303501448,10.201768525214687,4.9044816244474,0.7907985345003711,2.203895717838742,3.4477772678317975,2.6860672937325165
p04,AutoETS-auto_True,0.623539924621582,0.5235693018986831,0.5091863071062845,0.510184323431092,0.5320336979328899,0.5105550706184563,0.5051658124719839,0.5245355618606126,0.5253589939207692,0.5426922466005091,0.5369953819698585,0.5473758683255499,,0.5243320514669718,0.014408917627573925,1.0215271546257678,1.5714644878538906,2.75337793363351,0.6246328103018508,2.3169055320428855,3.0766800601264377,4.068971357703561,1.69206016195384,2.643160492613695,1.8345188657485039,3.853833697689167,,2.31428477766301,1.0966593897021355
p04,StatsForecastAutoCES-model_Z,57.07465958595276,0.21383819286194114,0.3879653378658824,0.7687380509906344,0.31513241517874946,0.6059581238528092,1.2977932988024417,1.0024282576226524,0.8364951827625431,0.37774798442920043,0.22673485476109717,1.2173390751745965,,0.6591064340275042,0.39241970591498154,1.1977562797242713,1.5002665453227397,2.5839412626269254,1.3859365951955702,2.2891095827382677,3.3311392060397926,3.0574990778115216,2.5802594706921522,1.4897376434627234,1.2259083969111226,3.3098309449706265,,2.1773986368632468,0.8456347090946159
p04,StatsForecastAutoETS-model_ANN,0.1751854419708252,0.17258487477832377,0.18067843410412904,0.31124677561947195,0.1944757552731624,0.28971879037969495,0.34991284856688687,0.18600999023265302,0.3103341200462284,0.19285791064123664,0.19128211233016462,0.4812263551414171,,0.26002981519212437,0.09797951025463024,0.9615530118670443,1.4800984857725084,2.3222061637453453,1.951470746977421,2.310844001532052,2.89586900312525,2.667625198396396,3.1170003220473577,1.341774107254955,1.2475928932760758,4.332476802656734,,2.2389555215137396,0.9929344732775272
p04,StatsForecastAutoETS-model_MNN,0.17400884628295898,0.16566079796779526,0.21062979915928387,0.340096356048407,0.24142974525847957,0.26709943621701365,0.37566378286585955,0.21662441596723464,0.27563486387764463,0.2621478507625269,0.21236761864205111,0.34154621779147265,,0.26444553495979717,0.06508289895631181,0.9615530118670443,1.4800984857725084,2.3222061637453453,1.951470746977421,2.310844001532052,2.89586900312525,2.667625198396396,3.1170003220473577,1.341774107254955,1.2475928932760758,4.332476802656734,,2.2389555215137396,0.9929344732775272
p04,StatsForecastAutoTheta-decomposition_type_additive,23.880935192108154,0.17727108333880703,0.1854434298516976,0.3280052515705192,0.1976982722038197,0.31410528139107796,0.3707159891858465,0.20129626330402184,0.27643142043716384,0.19780685934134656,0.19618753194084604,0.3550652793463734,,0.25454787835559267,0.07514050211074326,0.9573714337190087,1.480000277647454,2.3222479665680216,1.9561482905301182,2.310842739769467,2.895021322915388,2.6645240464377493,3.121410874109988,1.3396170476886649,1.2460493086495934,4.333388827528695,,2.2387838305058314,0.9940894080194587
