validation_id,model_id,runtime_secs,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_mean,PinballLoss_std,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_mean,MeanSquaredError_std
p01,AutoETS-auto_True,2.7477307319641113,0.973657104580403,0.8584094250450414,1.3954814558794248,0.890797476102875,0.8543821061385382,0.8203236247323349,0.8097138945682039,0.817955756375072,0.8025824328309191,0.8034398391178053,0.8055567937192887,0.8938454462809006,0.17417541810999798,7.079848615424444,4.581963156249562,9.708690422684292,4.601297024555653,2.299378832189089,2.1911299678906366,2.4216157701959924,4.825337898902787,2.047777306961684,6.293344499808113,3.0060929405629984,4.459679675947751,2.446335011158911
p01,StatsForecastAutoCES-model_Z,55.51154065132141,0.721280328258872,1.4670794543686008,1.1639798543353874,1.5115677780068169,0.3832483042528232,0.5530627740050355,0.5802025558799504,4.044210954879721,2.8063169492532802,1.5348516053209698,0.982153886631131,1.4316322222902356,1.1003554036057237,3.1159078312924913,4.990640496964891,4.466235264083083,4.872531480276772,2.1195652110150713,2.765876231491899,2.7257744322494135,10.430358022132207,7.658894920750517,4.8197806127506135,3.589785764836857,4.686850024349438,2.4456565810003923
p01,StatsForecastAutoETS-model_ANN,2.39463210105896,0.32282282693828374,0.45407699701201715,1.1234227379224564,0.3028247243941911,0.3006565241113972,0.29050154990547206,0.2882295556906995,2.1787659109858164,0.5627780278603939,0.29743116270092756,0.2845763301531459,0.5823714861522546,0.5851931896720666,5.020814600352372,4.283535440767198,6.4939350445704305,4.278718010313345,0.6497343137136238,2.191441688823932,2.499002401499611,9.211704003257726,5.744344964087882,3.6882680634320564,2.0892402910616834,4.195521711079987,2.4020880282986874
p01,StatsForecastAutoETS-model_MNN,0.9084913730621338,0.5307290372700398,0.6528460053145997,0.7745162679404842,0.7667704514823106,0.5805726040661003,0.24340469830417233,0.37011295860019766,2.3161109272030918,0.4111159588054258,0.3440558583290829,0.44655833567010783,0.6760721002714193,0.5702941519235214,5.020814600352372,4.283535440767199,6.4939350445704305,4.278718010313345,0.6497343137136238,2.191441688823932,2.499002401499611,9.211704003257726,5.744344964087882,3.6882680634320564,2.0892402910616834,4.195521711079987,2.4020880282986874
p01,StatsForecastAutoTheta-decomposition_type_additive,5.55115008354187,0.3233625853247942,0.471645444558623,1.0953832713266216,0.303225436458985,0.30113989202926555,0.2909867548678692,0.28873015215096537,2.3288945596560375,0.6614579265254248,0.3281012147168321,0.2850622191031774,0.6070899506107814,0.6223820077073822,4.957420235642328,4.294138935638026,6.4844915719567195,4.28096824253892,0.655236137003454,2.1914616098286155,2.499182048726936,9.231186343223138,5.7556355279857065,3.68135529323367,2.0874475958843575,4.192593049241988,2.4034239863124207
p01,StatsForecastAutoTheta-decomposition_type_multiplicative,2.6538245677948,0.3233625853247942,0.471645444558623,1.0953832713266216,0.303225436458985,0.30113989202926555,0.2909867548678692,0.28873015215096537,2.3288945596560375,0.6614579265254248,0.3281012147168321,0.2850622191031774,0.6070899506107814,0.6223820077073822,4.957420235642328,4.294138935638026,6.4844915719567195,4.28096824253892,0.655236137003454,2.1914616098286155,2.499182048726936,9.231186343223138,5.7556355279857065,3.68135529323367,2.0874475958843575,4.192593049241988,2.4034239863124207
p05,AutoETS-auto_True,0.38987159729003906,0.5066043120228826,0.6147607440384537,0.631818836469931,0.6277567811063858,0.6480958905342968,0.6467663312794063,0.6436625620756977,0.6463140959036544,0.6446170878855793,0.6671509172232037,0.6839936467440351,0.6328673822985024,0.04576808984537038,3.5294017033839635,2.437668137836557,3.042554800715395,1.0198588376565698,2.5625603601764992,1.328159427998248,1.0863247297028766,1.6533697645780165,2.7567909285608936,4.553135465843436,2.712354551483837,2.4256526098123903,1.0911791672028384
p05,StatsForecastAutoCES-model_Z,53.03818440437317,0.6969949807226656,0.17079188118378325,0.980505331729849,0.11457549860080084,0.3786788371205328,0.10134772290786113,0.5304833155870438,0.10009095324824259,1.037335848410924,1.2169469427317376,0.6367471704135339,0.5422271347869977,0.4077927721381034,2.5202070062022632,1.1897167720302881,3.8990006992717516,0.8510084325226397,2.0522410848861847,0.8966697096015284,2.1717704123883395,1.055841710172546,4.165545694779802,4.025424788257411,2.701313389771516,2.3207945181712977,1.2706825007154963
p05,StatsForecastAutoETS-model_ANN,0.1273190975189209,0.1844257806917748,0.19845752775990122,0.23505853015744954,0.20775946190435873,0.3072470150745245,0.2156925010330013,0.2123631801111599,0.21633174601427912,0.29142241667360036,0.6766428446228292,0.227071817473752,0.2702248019560573,0.13990517799187918,2.9517414064415624,0.5634421030505388,3.285521519534413,1.019803902718756,1.8519215254074308,1.908092037208696,1.4852219808945812,1.4044074931915942,3.4744626469718622,5.536609499584115,1.9593639701615577,2.31278073501501,1.408549249417296
p05,StatsForecastAutoETS-model_MNN,0.12732458114624023,0.24544678785467142,0.32600452993167284,0.25936902822514823,0.12594106597943117,0.3142293976327926,0.29071495391509433,0.16997517445552307,0.16411343038022375,0.361103759458858,0.36668139005205475,0.22073413974402423,0.25857396887540857,0.08175931568334417,2.9517414064415624,0.5634421030505388,3.285521519534413,1.019803902718756,1.8519215254074308,1.908092037208696,1.4852219808945808,1.4044074931915942,3.4744626469718622,5.536609499584115,1.9593639701615582,2.31278073501501,1.408549249417296
