validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,24.835334062576294,1.4501207705975048,2.411897890738049,3.5469674296380465,4.609861544802858,7194300233163018.0,2.8753885497416523,2.4043743629169491e+55,0.7725215547985012,1.6205023556050255,1.0319839524301069e+29,2.026679369316333e+100,0.501183868836036,1.6888994744302775e+99,5.850519397179229e+99
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,14.404186248779297,1.4497133939233051,2.418220263430371,3.5486277877268826,4.607733895094053,8.997985230006662e+68,2.875212208769666,1.9691992223915924,0.8049096354157377,1.6251660509661208,6.98051766365591e+87,3.456286892459239,6.792954658786632e+102,5.660795548988866e+101,1.9609571004216921e+102
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,28.024311542510986,1.4560256933739706,2.4852165928167165,3.482817460021191,4.777612317709503,3.5700428519633562,3.040010857793352,2.068568335050513,0.8465960828602995,1.6531164920465231,3.747427223918419e+17,3.446520262170594,0.44373786635723367,3.122856019932016e+16,1.0817890582489157e+17
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,29.780515909194946,1.444327319060475,2.499519372714861,3.4804955788017846,4.769315854218243,3.5663866832599553,3.0445998181829204,2.0586208368218273,0.8384076670788226,7.072559040999384e+86,1.7015631003153242,3.450089432127579,0.46993610695045335,5.8937992008328204e+85,2.0416719330902576e+86
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,28.298582792282104,1.7020385147883161,6.4825438341448585e+22,3.3543358322087844,4.838391227229622,3.3306395735954295,3.4382207734507264,2.073549697453081,1.7605934236817046e+16,6.494595000209586e+16,1.2962368258605158e+17,2.2536981318513005,0.37916632456263893,5.402137543084617e+21,1.8713486570262708e+22
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,34.85582208633423,1.4477779064462823,2.433484094296503,3.591803825013089,3.5222710899343996e+59,3.5733381490124976,3.0221372107745434,1.955341885968656e+81,0.8296417033750413,1.5824791582225548,1.6607853401410466,3.4339556050324207,0.4711137623357589,1.6294515716405467e+80,5.64458582110877e+80
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,19.49751877784729,1.4501207705975048,2.411897890738049,3.5469674296380465,4.609861544802858,7194300233163018.0,2.8753885497416523,2.4043743629169491e+55,0.7725215547985012,1.6205023556050255,1.0319839524301069e+29,2.026679369316333e+100,0.501183868836036,1.6888994744302775e+99,5.850519397179229e+99
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,17.863074779510498,1.4497133939233051,2.418220263430371,3.5486277877268826,4.607733895094053,8.997985230006662e+68,2.875212208769666,1.9691992223915924,0.8049096354157377,1.6251660509661208,6.98051766365591e+87,3.456286892459239,6.792954658786632e+102,5.660795548988866e+101,1.9609571004216921e+102
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,26.687288522720337,1.4560256933739706,2.4852165928167165,3.482817460021191,4.777612317709503,3.5700428519633562,3.040010857793352,2.068568335050513,0.8465960828602995,1.6531164920465231,3.747427223918419e+17,3.446520262170594,0.44373786635723367,3.122856019932016e+16,1.0817890582489157e+17
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,25.064412117004395,1.444327319060475,2.499519372714861,3.4804955788017846,4.769315854218243,3.5663866832599553,3.0445998181829204,2.0586208368218273,0.8384076670788226,7.072559040999384e+86,1.7015631003153242,3.450089432127579,0.46993610695045335,5.8937992008328204e+85,2.0416719330902576e+86
