validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p02,HFTransformersForecaster-Informer,490.7414975166321,3.978578181942227,2.544490634624802,2.5702917960460057,2.731080741667841,3.058709708159537,2.1158316924427667,5.013587147569897,2.934771829522029,3.062425118575842,1.6725566418372855,2.8823476486671606,1.8226845313709634,2.865612972702196,0.9152871961056372
p03,HFTransformersForecaster-Informer,483.9020731449127,1.0784665726667062,1.2698578920935117,3.65917199314212,2.769024274805392,1.7325532482857058,3.3276708370022394,4.01634544424305,3.71944000256042,9.123986890626101,4.206293606834428,1.1448316074855944,1.4023640502944776,3.120833868336646,2.2404366774690194
p04,HFTransformersForecaster-Informer,382.18755173683167,3.485434103900065,1.5788112378097856,2.1814767391269836,1.3119097382307388,4.697681274901694,3.935859033060825,3.493601467345919,2.496676682182491,1.4415798387094652,1.2701996918080147,2.5115799121291547,,2.5822554290186486,1.1734480957570732
p10,HFTransformersForecaster-Informer,373.8027973175049,3.5608259479907676,2.375076650408601,1.402340138971846,1.1601308017747944,2.325656717895941,2.0016381298824655,1.6301321813622687,1.0276001602013642,1.913776905479582,1.1698215555517735,1.2978576034363951,,1.8058960720868908,0.7485353218026611
p11,HFTransformersForecaster-Informer,378.2052490711212,3.8338777981662933,3.5025774869915742,5.717277292728167,2.475241093752309,3.3139444735315773,2.4400401622321795,2.6759741735950824,1.5228202021680806,4.207144253209905,3.054061518692674,1.1294494832831756,,3.0793098125773652,1.2726335597103728
p12,HFTransformersForecaster-Informer,400.47409319877625,3.3325929775071192,6.881575580197061,7.1078673402330335,5.589437215975575,2.6103214074988346,0.9501790928231708,1.746535453990722,5.702658701707878,1.2452510616706913,2.446310524811723,2.6895926444561775,,3.6638474546247264,2.2499022103554425
