validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_EGARCH,20.42714238166809,1.480558984528045,2.382516956585417,3.4825472109767888,4.535408117624701,3.492896958757588,2.8323087232742794,1.9520586041453911,0.7629587173754211,1.7468763723748284,1.555572535647908,232184255757354.44,748.2832347300317,19348687979843.91,67025821281530.48
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_EGARCH,15.882843732833862,1.8252104589812932,2.3712024892309373,3.48249527697372,4.536358137885545,3.496424199328725,2.825269237359779,1.9517096121682795,0.7594119328994916,1.77025292044114,1.7537221460703998,3.41005231994586,0.4640661857999661,2.387181243090428,1.2031344624568123
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_EGARCH,16.287813186645508,1.588252264795711,295.8926711370698,3.3988258628924126,4.655436781764298,3.5381105399529913,3.0291693738195287,2.0520533164221524,0.8298620527666905,1.558406598355713,1.2741542861136097,44023644212.9075,1.638442608441719e+18,1.3653688770544696e+17,4.729776393624687e+17
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_EGARCH,17.34674906730652,1.5114679184601747,7.726957425495672,3.4172959057736025,4.656066728331879,3.54941374775245,3.0134949405352685,2.0424335698310796,0.8307557237715735,1.753415830093957,1.5547792752323448,2.846847865689512,inf,inf,
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_EGARCH,25.371270656585693,1.7258099615877749,30989.674981736633,313357467.5835544,4.677873810235004,3.6225244926518014,3.4569756621951924,1.9970112423695296,0.8356000028921364,1.281134519071008,9381051.921952209,1.81162611545133e+42,5.6764261851028825,1.509688429542775e+41,5.229714127133907e+41
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_EGARCH,22.64296507835388,1.503461637481399,2534346.281151016,38.67529456355913,4.669941145883857,3.569770047885425,2.993051931443698,2.0271443080141416,0.8309701309000982,1.6686345740740067,3.098462023674175,15.18231451338062,3.0781372887933716e+18,2.5651144073299216e+17,8.885816961436724e+17
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_EGARCH,20.217079401016235,1.4722948687852653,2.3891689378135745,3.476560742649587,4.595206295774995,3.510189299909029,2.820559515408533,1.950916384789001,0.7530627399267773,1.6500403459038837,1.614418641816212,3.417643905975168,0.5218895256826241,2.347662600369554,1.23846466684
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_EGARCH,20.25287818908691,1.4545222426131823,2.3898160994104622,3.476450571612292,4.5951937778144485,3.511425511668177,2.8133663788516996,1.942497565310734,0.7502109229125935,1.6573097257445193,1.649904841778532,3.41608791903926,0.5234560414558308,2.348353466517644,1.2374820281147771
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_EGARCH,24.761724948883057,1.5368219460986614,2.519893425952324,3.409988931212278,4.721918429340753,3.55650076684521,3.017351196343273,2.046565868277612,0.8234761503088062,1.654311890279656,1.5817523346238958,3.396024732407081,0.4903098978800676,2.3962429641308014,1.2564084977791938
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_EGARCH,24.5091769695282,1.4861228984676842,2.5166022505798513,3.413076723851192,4.7441016918590195,3.5536473770654218,3.0142270526171986,2.039686060804174,0.8212935917049329,1.6734138005514374,1.5827839451855397,3.3919597732552456,0.4871625801779631,2.3936731455099713,1.2626970505350488
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_EGARCH,29.887404680252075,1.653061979107301,2.5566767469693827,3.407145310662628,4.695133944634034,3.54276181690549,2.915050242074436,2.002852744616562,0.8256663878185174,1.6391644912814998,1.3696369706726863,3.18761165736372,0.4600611981064043,2.3545686241843886,1.2457682660684557
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_EGARCH,28.80809473991394,1.4951255344174763,2.5041235794374845,3.503672637743765,4.716017080836611,3.561019721972077,2.9730233069876513,2.027886372193462,0.8294155953792117,1.6149417971348723,1.535907323388044,3.3763572325462987,0.4901851945084733,2.385639614712119,1.2668629215499514
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_AR-vol_EGARCH,18.134211778640747,1.7068260314134325,2.401513838180368,3.5049529531532024,4.539226185977231,3.4856592227357317,2.829014540175172,1.9472620066881696,0.7597351818045976,inf,1.3841495304604172,464846618508274.25,1.2277784938762197e+46,inf,
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_EGARCH,18.416685581207275,67348049.78761488,2.39771171818425,3.5064658807971907,4.53917215702911,3.484737705410393,2.8298292178906967,1.9464055312220936,0.7577476207919438,1.7758247168388506,1.6583411141404996,2.199106838125119,1.1576687779947187e+17,9647239822234998.0,3.3419019028616376e+16
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_AR-vol_EGARCH,20.89419198036194,1.4591615778175984,2.527977839656467,3.4601012206642103,4.649760133232508,3.5269365919179476,6.784849890668274e+19,2.1988910350695763,1136.204230397206,1.3100803205319524,1.269619905616268,21.429941231526893,6.176935999222484e+45,5.147446666018737e+44,1.7831278309590953e+45
p02,ARCH-p_15-q_24-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_EGARCH,19.855340719223022,1.487015483463723,2.518144257746458,3.4759398228737224,4.659281630668077,3.535435914616533,3.006978031330452,2.0274426610231573,0.8287955409092671,45.44349477636897,1.7834780016658505,7.800466291503505e+44,1011.3028631592232,6.500388576252922e+43,2.2518006566020757e+44
p02,ARCH-p_15-q_24-o_12-lags_48-power_1-dist_ged-mean_AR-vol_EGARCH,28.28008484840393,2.1499694565954575,2.489426322507803,3.5632280231828246,4.633698504165381,3.7054827821344674,68.64909688769941,8713.764810892597,1.0019531510030262,842343.8821233024,2.39498662205681e+25,8.417815232661828e+78,inf,inf,
p02,ARCH-p_15-q_24-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_EGARCH,21.956613779067993,7.582399693652051e+42,2.457564485242111,3.5368429923130256,4.679091907930064,3.5571665662278815,3.28785170912214,2.2187073641906196,0.8909802298320776,1.5335047955031735,15174856831603.305,2.508462144727585e+61,inf,inf,
p02,ARCH-p_15-q_24-o_24-lags_24-power_1-dist_ged-mean_AR-vol_EGARCH,26.53036618232727,1.513677132627139,2.3828491125751925,3.481415755582932,4.549031200873624,3.5015164340610943,2.8193958992277173,1.945048894306623,0.7498088123098299,1.6580010803779417,1.674148919831963,3.430476557160022,0.5239289577217895,2.352441563054656,1.2256651394596427
p02,ARCH-p_15-q_24-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_EGARCH,25.733640670776367,1.8429721322351111,2.3856452320107677,3.4813155953676778,4.564514934909387,3.500851096471468,2.8275823176016748,1.940939283078606,0.7494065058454169,1.656418465136855,1.6743144475838794,3.429604526542093,0.5282248513829465,2.381815782347157,1.211083006821403
p02,ARCH-p_15-q_24-o_24-lags_36-power_1-dist_ged-mean_AR-vol_EGARCH,33.387096643447876,1.5599969455914449,2.5228984325062385,3.4259627144640272,4.6344854937922655,3.548194600518367,3.0093187373621673,2.0393253421175763,0.8263805371986033,1.659099738525817,1.614341399753161,3.421906089862644,0.4856533118601291,2.3956302786293704,1.240864707861537
p02,ARCH-p_15-q_24-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_EGARCH,29.843540906906128,1.5506908994981357,2.5063600172433875,3.439905076778455,4.668091341080121,3.5564392832510956,3.011537523661538,2.0461509135925247,0.8193357850173288,1.662072019417391,1.5968160794290596,3.4135585306384377,0.4899740047315311,2.3967442895282507,1.248938928321291
p02,ARCH-p_15-q_24-o_24-lags_48-power_1-dist_ged-mean_AR-vol_EGARCH,36.33044004440307,1.6227924373309268,2.5790776934895177,3.4881103009122136,4.595331342831542,3.518649154973676,2.824173885213996,1.9686699172308544,0.8093204641458005,1.6118449163689474,1.462732219835846,3.2157896139445157,0.5384182970495714,2.352909186943951,1.2207016802169257
p02,ARCH-p_15-q_24-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_EGARCH,35.64781928062439,1.5137278778173755,2.4836588474608967,3.528673510058083,4.66956687985227,3.5584137219386527,2.983666884716489,2.0311067651774692,0.835148646315003,1.6240331947607205,1.5801767040503407,3.3882972874782378,0.4911724008383659,2.3906368933719917,1.256918424743196
p02,ARCH-p_15-q_36-o_12-lags_24-power_1-dist_ged-mean_AR-vol_EGARCH,22.53181791305542,1.493562153665528,2.393978921695837,3.5044626431241657,4.547222528051861,3.4940469694575524,2.829383617569863,1.9487634386101875,0.7602247529273909,1074852143407.1476,4.895774131693519,1593899.093440582,5.5839890957461295e+23,4.653324246464065e+22,1.6119588037901996e+23
p02,ARCH-p_15-q_36-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_EGARCH,26.659311294555664,1.5787546701982875,2.3923756071658944,3.502728123381566,4.550908209464559,3.493247933012116,2.8342933090166533,1.9488220213247267,0.7595724249876263,1.7632837573342768,1.7387125843596156,4.188769924897944,0.7350181101552872,2.457207222941546,1.2638535064177558
p02,ARCH-p_15-q_36-o_12-lags_36-power_1-dist_ged-mean_AR-vol_EGARCH,29.859565496444706,1.5436383618307423,2.5149649387089696,3.4644731363403345,4.666095814913681,3.535256718243048,3.1426842554923833,2.1308356638038233,0.8215189752534556,1.6302187948412548,16557348.009105677,2165.374237632479,207.29563426147791,1379978.6773886858,4779631.823267983
p02,ARCH-p_15-q_36-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_EGARCH,28.961904287338257,inf,2.5179808936515404,3.473362516177119,4.66907343487971,3.5399943278261,2.999569055707694,2.046737667095849,0.8294005552864079,1.5805786484718152,1.7819743849151666,4.315480502669794,3.419242369021498,inf,
