validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_mean,MeanSquaredError_std
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_AR-vol_EGARCH,1.8690519332885742,4.3049930421425735,2.4971787371133676,4.585073698682895,0.9187656932383831,2.7197800094064237,2.4293776486086953,2.28728903757102,6.184249646238942,5.660516488218555,4.627425635838533,3.8690045904531676,3.643968566137505,1.6053581306211668
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_AR-vol_GARCH,4.070992469787598,4.106346203957404,2.548328170871949,4.712539756614547,0.910852518743649,2.6749354309565376,2.411891308983183,2.285901995957921,6.179514839264051,5.628836274296443,4.618688304821033,3.8477644599488867,3.629599933128691,1.6026667804212937
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_AR-vol_HARCH,2.2013893127441406,3.9310326917086296,2.615955804297184,4.6906322541425896,0.9206240501917563,2.850208510314867,2.379878785669776,2.295477072333777,6.224967649531358,5.772005976324159,4.767426989471555,4.013307306855407,3.6783197355310056,1.6209078622162219
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_ARX-vol_EGARCH,1.9477577209472656,4.3049930421425735,2.4971787371133676,4.585073698682895,0.9187656932383831,2.7197800094064237,2.4293776486086953,2.28728903757102,6.184249646238942,5.660516488218555,4.627425635838533,3.8690045904531676,3.643968566137505,1.6053581306211668
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_ARX-vol_GARCH,3.125702381134033,4.106346203957404,2.548328170871949,4.712539756614547,0.910852518743649,2.6749354309565376,2.411891308983183,2.285901995957921,6.179514839264051,5.628836274296443,4.618688304821033,3.8477644599488867,3.629599933128691,1.6026667804212937
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_ARX-vol_HARCH,2.510648250579834,3.9310326917086296,2.615955804297184,4.6906322541425896,0.9206240501917563,2.850208510314867,2.379878785669776,2.295477072333777,6.224967649531358,5.772005976324159,4.767426989471555,4.013307306855407,3.6783197355310056,1.6209078622162219
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_Constant-vol_EGARCH,1.464693307876587,4.198717415216827,2.191147659438565,2.6835764854969932,3.042065226128518,5.05971042809941,2.419176852475184,2.4511940168203137,8.150528203717036,7.528605596064136,4.051342458646903,4.224651176224276,4.181883228938923,2.0334695157071474
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_Constant-vol_GARCH,1.4448654651641846,4.3890347919361945,2.1609219422839696,2.7177137821214683,2.7551082452232607,4.594695295706769,2.2895025256549526,2.5734519008545687,8.38701556698589,8.018269396595466,4.534673401696001,4.856533144825337,4.2979018176258075,2.178939924869411
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_Constant-vol_HARCH,0.6901223659515381,4.266455822859064,2.18536972848973,2.6982413874505555,2.6874201881321746,4.916082840533459,2.371263417492222,2.5053722682097086,8.325486133875339,7.945735673355984,4.403520365156073,4.695971985948913,4.272810891954839,2.159037008400833
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_HAR-vol_EGARCH,1.8474555015563965,3.917480306788618,2.643680335225707,4.585464597921301,0.9187727299336613,2.719835524508781,2.4086144032954304,2.2872540137824466,6.184236013927803,5.660369731490059,4.624022159746849,3.86347861716414,3.6193825848895274,1.5852495514312102
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_HAR-vol_GARCH,2.762188673019409,4.101756200268988,2.5482091692877025,4.712624265636549,0.9108323783042892,2.680607140800273,2.411882866524158,2.285892248394854,6.17956551098632,5.628754989506025,4.618498646091766,3.8315479362593274,3.6281973956418407,1.6019855234313236
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_HAR-vol_HARCH,2.259979724884033,3.9206396037612117,2.6159025542213405,4.690729216023664,0.9205345909057102,2.8502799015473506,2.37986882181056,2.295472340231102,6.224986140601981,5.7719369780312295,4.767314682559385,4.013264376444388,3.6773572005579935,1.6207567170680894
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_HARX-vol_EGARCH,1.8386883735656738,3.917480306788618,2.643680335225707,4.585464597921301,0.9187727299336613,2.719835524508781,2.4086144032954304,2.2872540137824466,6.184236013927803,5.660369731490059,4.624022159746849,3.86347861716414,3.6193825848895274,1.5852495514312102
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_HARX-vol_GARCH,2.9648234844207764,4.101756200268988,2.5482091692877025,4.712624265636549,0.9108323783042892,2.680607140800273,2.411882866524158,2.285892248394854,6.17956551098632,5.628754989506025,4.618498646091766,3.8315479362593274,3.6281973956418407,1.6019855234313236
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_HARX-vol_HARCH,2.179670572280884,3.9206396037612117,2.6159025542213405,4.690729216023664,0.9205345909057102,2.8502799015473506,2.37986882181056,2.295472340231102,6.224986140601981,5.7719369780312295,4.767314682559385,4.013264376444388,3.6773572005579935,1.6207567170680894
