validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_fold_12_test,MeanSquaredError_fold_13_test,MeanSquaredError_fold_14_test,MeanSquaredError_fold_15_test,MeanSquaredError_fold_16_test,MeanSquaredError_fold_17_test,MeanSquaredError_fold_18_test,MeanSquaredError_fold_19_test,MeanSquaredError_fold_20_test,MeanSquaredError_fold_21_test,MeanSquaredError_fold_22_test,MeanSquaredError_fold_23_test,MeanSquaredError_fold_24_test,MeanSquaredError_fold_25_test,MeanSquaredError_fold_26_test,MeanSquaredError_fold_27_test,MeanSquaredError_fold_28_test,MeanSquaredError_mean,MeanSquaredError_std,MeanSquaredError_fold_29_test
p02,AutoETS-auto_True,4.274457693099976,1.5786347339041178,2.544608881150267,4.508117385365686,2.5899255350193537,4.967129763538292,2.414272093544338,3.223966665838781,6.022809467322344,2.855629345912078,4.571833846314858,3.060517146228062,8.448593309168945,1.707310053756069,4.086902433305048,3.6929410587239504,0.6395036225724636,6.265338632134596,2.3353908825105396,4.308920306104058,0.7215628152392733,6.0567803496063535,1.163900000832469,1.2222139947939499,3.3706167444744146,3.9359246435527684,2.6233086221456925,2.1785675560572955,4.825287639410741,2.9129674748330507,3.408050862184823,1.8262201061530852,
p02,StatsForecastAutoCES-model_Z,141.23140263557434,1.6214221630285446,2.675637794458634,2.5388669662423933,3.160780715835898,3.561971513338975,2.3551162319192485,3.245856447907186,4.951646222930749,3.014141279142168,4.928598357296521,2.540203225066368,7.590115964613907,2.715154891210504,3.5458057021893934,2.8484610357238527,0.6014345782671445,4.698053812128299,1.8547141447776996,3.232841760295781,1.0633764281591012,4.048267077914056,0.875771171187548,1.145506603450815,2.1360304243229153,3.949334954167446,2.920633736462598,3.7241538394936846,2.604042993740041,2.815076265909425,2.9987247000407207,1.4320326111839772,
p02,StatsForecastAutoETS-model_ANN,1.207740068435669,1.5558194710042366,2.502665245492229,2.851739708823871,2.8903704510304773,3.363320859079648,2.239267434027819,2.9677136770008015,5.683387140774935,3.0199895594897357,5.642458210612818,2.310013221016171,7.510482716587784,2.899218200108471,3.9243225081630175,3.5432946638038336,0.6367270707451078,5.553971635179671,2.4314490442795176,3.021025192414851,1.4947396106213189,3.852082376850787,1.20663674081339,1.5775427279951308,1.893353582171598,3.7000888380362444,2.618550277454126,3.2012474662421493,3.1176568394358783,2.5439929009487856,3.0949354265587723,1.4852448891266676,
p02,StatsForecastAutoETS-model_MNN,0.3179352283477783,1.5558194710042366,2.502665245492229,2.851739708823871,2.8903704510304773,3.363320859079648,2.239267434027819,2.9677136770008015,5.683387140774935,3.0199895594897357,5.642458210612818,2.310013221016171,7.510482716587784,2.899218200108471,3.9243225081630175,3.5432946638038336,0.6367270707451078,5.553971635179671,2.4314490442795176,3.021025192414851,1.4947396106213189,3.852082376850787,1.20663674081339,1.5775427279951308,1.893353582171598,3.700088838036245,2.618550277454126,3.2012474662421493,3.1176568394358783,2.5439929009487856,3.0949354265587723,1.4852448891266676,
p02,StatsForecastAutoTheta-decomposition_type_additive,164.26327300071716,1.5564266734369216,2.507304546342628,2.8478891530608124,2.8916678428222666,3.359517808317167,2.2391359910720277,2.9645703988286116,5.68644936411194,3.0212353710687663,5.648653133898386,2.306803628020588,7.508403619762063,2.9052200417773024,3.9241248588706217,3.542824777571039,0.6375514167855402,5.552325069129747,2.431926371310282,3.017309568321851,1.4978539556777677,3.847508553342263,1.206645687477584,1.5787015831089821,1.8950849805007826,3.6995680374767295,2.6183717511795903,3.2043719867367693,3.114403573306121,2.543076783363746,3.094997466437203,1.4851034019358091,
p02,StatsForecastAutoTheta-decomposition_type_multiplicative,124.43153190612793,1.5564266734369216,2.507304546342628,2.8478891530608124,2.8916678428222666,3.359517808317167,2.2391359910720277,2.9645703988286116,5.68644936411194,3.0212353710687663,5.648653133898386,2.306803628020588,7.508403619762063,2.9052200417773024,3.9241248588706217,3.542824777571039,0.6375514167855402,5.552325069129747,2.431926371310282,3.017309568321851,1.4978539556777677,3.847508553342263,1.206645687477584,1.5787015831089821,1.8950849805007826,3.6995680374767295,2.6183717511795903,3.2043719867367693,3.114403573306121,2.543076783363746,3.094997466437203,1.4851034019358091,
p03,AutoETS-auto_True,1.812485933303833,1.4194239338273325,2.3688068752593376,1.3486670919542685,6.44421552860407,6.081420239535555,8.000730556128143,2.299010573407971,1.6718490032814963,1.9843389795897879,2.899570955234004,2.5797117510870358,3.3603667828845025,2.59478052392105,6.911964866886563,6.471269470941255,0.6352879190564199,9.637323130819613,4.2187997413715745,5.725115991955194,2.870871283746585,0.5484407115912728,2.1802255876195535,1.0650062231991737,5.885932401761871,5.237886490088324,4.998372689112859,6.182332305142048,2.8435147922337785,5.542187081664453,3.867423188900082,2.381334700195843,2.015272185097356
p03,StatsForecastAutoCES-model_Z,33.72837972640991,1.0874246936978997,2.1479301664148784,1.09039002875896,4.846293877585869,5.4867329752781355,8.952065007614506,2.396867662390762,2.018079663995984,2.3944768006666486,2.1111713358706488,2.68424481403935,2.837087219482399,3.0698680779774996,6.307137393033915,5.961694031507421,2.9845633986310522,10.51368252230029,4.125801125296075,3.9700619017314533,2.0800745381337893,1.2598930247309859,2.432881811797245,1.6917704957491226,7.554114569774668,6.903447147918002,4.931247350519776,6.201200200664527,3.010523579063703,5.504806110214809,3.962075890412649,2.413236341037259,2.3067451875390943
p03,StatsForecastAutoETS-model_ANN,0.34921836853027344,1.423659214228719,2.383886882881533,0.9542249331903994,5.460983293751299,5.195781240439603,9.740987885517233,2.384764343142152,2.525404787190823,2.135066047661217,2.135768323386397,2.763457014242813,2.6265309648008457,2.5984236674483574,6.013538535987352,5.819124958355501,2.532870389905096,10.199296582518524,3.7694957659716706,4.906746890659279,2.845952291315312,0.7895228869316506,2.4226460521527753,2.2003200041395865,8.146895116333354,6.333687121823535,5.75454594014067,6.958198193265749,3.140649119621316,6.247023704738248,4.0823085009247,2.5063743948748,2.059802875999997
p03,StatsForecastAutoETS-model_MNN,0.3347907066345215,1.423659214228719,2.383886882881533,0.9542249331903994,5.460983293751299,5.195781240439603,9.740987885517233,2.384764343142152,2.525404787190822,2.135066047661217,2.135768323386397,2.763457014242813,2.6265309648008457,2.5984236674483574,6.013538535987352,5.819124958355501,2.532870389905096,10.199296582518524,3.7694957659716706,4.906746890659279,2.845952291315312,0.7895228869316506,2.4226460521527753,2.2003200041395865,8.146895116333354,6.333687121823535,5.75454594014067,6.958198193265749,3.140649119621316,6.247023704738248,4.0823085009247,2.5063743948748,2.059802875999997
