validation_id,model_id,runtime_secs,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_fold_11_test,PinballLoss_mean,PinballLoss_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_EGARCH,16.361926794052124,0.25153273425189016,0.2389303723147096,0.41858798368944466,0.5185683251926939,0.3291547620754881,0.25513678902069015,0.2570585839710218,0.3031401909784929,0.2823963332840264,0.24426977414313875,11185187934782.092,111.23850811043599,932098994574.7025,3228885632538.4966
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_EGARCH,13.117175579071045,1.0370389598592256,0.23392369715022143,0.515237092987651,0.4063534801976581,0.2849001818886377,0.24036883370574175,0.258826156171086,0.32481701970551935,0.28386122770569555,0.22634741143645765,0.3755160319092007,0.18362066201828195,0.36423422956128143,0.23095555961140507
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_EGARCH,13.339300394058228,0.28479390645667935,264.2786175310265,0.4349552678284445,0.64798040339848,0.31404874052697407,0.3224252657586393,0.25318355441010487,0.30844641826479224,0.24980559911204236,0.23285485351589919,,4.538018375518191e+18,4.1254712504710835e+17,1.3682640221210885e+18
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_EGARCH,14.536997556686401,0.3478785897375981,93.36697199530192,0.4104140885501393,0.670432090462397,0.2793126628442986,0.2757519534241609,0.25994355475966946,0.2876239507238892,0.27431666561430085,0.22327170538689733,0.35481441993878476,,8.795521061522189,28.049443213490704
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_EGARCH,19.374104738235474,0.2564951324328201,23238.29713364508,8155812.563538899,0.4829772196371309,0.311053679704676,0.34346698061910474,0.25314612107020973,0.28957652296367464,0.23711917198213506,1751311.2149019835,1.5883277920346218e+40,1.2538530946763837,1.3236064933621848e+39,4.5851073914627646e+39
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_EGARCH,19.910675525665283,0.9051021515346405,490778.5552551347,3.2327980075835865,0.7091554158478637,0.30816944423755244,0.2909602597430934,0.2807418443198897,0.32870946147721414,0.2781977421058831,0.3175921656520218,9.957526719775622,1.0486296216448886e+18,8.738580180378162e+16,3.02713297168433e+17
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_EGARCH,16.966819286346436,0.308294941955406,0.28080663920374727,0.5552557231169876,0.670150447500499,0.3008027815837665,0.2572404664920403,0.26169593088686444,0.3037588249238411,0.27304743668278353,0.2604337312743204,0.365849291508459,0.16313075242340308,0.33337224729600984,0.14074837299514165
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_EGARCH,16.50283694267273,0.24512656680429645,0.2832868211946933,0.5322962967938422,0.7188481146123266,0.3274677665580626,0.25623535287761545,0.2799731301882953,0.3077669335769039,0.2866543828916533,0.25189128900177343,0.3235776250311245,0.18500995034337994,0.3331778524894972,0.14736438779318078
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_EGARCH,20.853538751602173,0.24876142275645366,0.2981874447221426,0.5472487513538042,0.4603806704814081,0.31725208669850796,0.25270038137778217,0.301768744502122,0.2730513959180404,0.24323701565478478,0.22776610569628966,0.41982297009681324,0.1692777903460707,0.3132878983003516,0.108926004510066
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_EGARCH,20.907190561294556,0.2633392756776887,0.2955876533416051,0.468870854275282,0.6208209111743639,0.3119202996704866,0.24552532071494884,0.2798397509887738,0.27718327040266666,0.2659603091683578,0.2324955295591068,0.35004486080221753,0.18270721601063344,0.31619127098217764,0.11896343031534289
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_EGARCH,24.71816086769104,0.28334585964655845,0.27429900996465906,0.5058955167847601,0.7780732667616966,0.31103762738178675,0.3167382501702614,0.2719776996866341,0.2695386347454608,0.234017376182174,0.22748560169667137,0.3850888816874831,0.17648413897934234,0.3361651553072907,0.16248450685466792
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_EGARCH,24.942281484603882,0.2751497219789515,0.3061406335336879,0.532095924716242,0.5726666314140587,0.3076989878476093,0.28184937172025104,0.3001695750048872,0.28405325492685546,0.2451975555903898,0.24268314796739038,0.34254140456793175,0.1623350677877051,0.3210484397546633,0.1172593835438767
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_AR-vol_EGARCH,14.19220519065857,0.3740714404699667,0.2829384100217356,0.4464964581340075,0.667782761529115,0.3307952374566048,0.2843263428153509,0.25800869856863795,0.3228910408967467,,0.27884354494392843,6599297389044.707,,659929738904.7953,2086881070618.245
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_EGARCH,15.013914823532104,12581984.523787908,0.2911336175085866,0.4502122744172773,0.610047766788401,0.33013558207441895,0.27340474460550385,0.28385334928349504,0.3080961551242369,0.2730906553777246,0.26602960833604283,0.4861415715715178,8.039632779414322e+145,6.699693982845269e+144,2.320842074690299e+145
