validation_id,model_id,runtime_secs,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_fold_11_test,PinballLoss_mean,PinballLoss_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_normal-mean_AR-vol_HARCH,16.118918657302856,0.29343138951353415,1.16276895764488,0.6313761851460873,0.4373242731747499,0.30409275899343935,0.3050482551222892,0.2683059070602811,0.29145060839164266,0.3159414078989552,0.31568208645726126,0.39477928837398435,0.23102935884293374,0.41260253971833655,0.25871878941147325
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_normal-mean_HAR-vol_HARCH,13.072116374969482,0.2898832297601768,0.5041316056594306,0.5005609912312243,0.5002707145918774,0.29763502738045633,0.3160551536230923,0.3119345488703906,0.34039555523564174,0.4163254052060943,0.2763647097365877,0.2872237320252226,0.22741764819130594,0.3556831934592917,0.09837634991223808
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_normal-mean_AR-vol_HARCH,20.065623998641968,0.28726436151339096,0.46273837070948964,0.5206201906090624,0.7988199400636632,0.3656418750343868,0.23460925082887296,0.21748340983018707,0.3103424976972615,0.34997412196492955,0.2587096545152668,0.3150144660242393,0.1984623253802114,0.35997337201424684,0.16820369428704024
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_normal-mean_HAR-vol_HARCH,18.94918704032898,0.35224649366220756,0.37251451714818706,0.4934423191133361,0.8876551723263458,0.3396009994819164,0.25547687493250715,0.3216108820239918,0.2583131779824531,0.26249346987749467,0.21242418290785248,0.30990995008018235,0.24818089719563968,0.3594890780610096,0.18238177690698565
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_normal-mean_AR-vol_HARCH,26.73731517791748,0.29392766869085435,0.32593177318094013,0.5403400097375075,0.41123164532847933,0.4626245508700154,0.2753960471145149,0.30142002829250103,0.26014861080742613,0.24168476279331486,0.2295137048905556,0.3767604282124762,0.20399802371557513,0.32691477113618006,0.10192334313322604
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_normal-mean_HAR-vol_HARCH,25.873260498046875,0.3045327674884955,0.3903107492524413,0.5272880758924348,0.6901129039549192,0.351907145068976,0.2713689436925938,0.356865894805796,0.27365367425123077,0.28555566244437325,0.2331032024342212,0.34446855178122926,0.2153856741901422,0.35371277043807114,0.13438972796170784
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_normal-mean_AR-vol_HARCH,11.7144775390625,0.3061764370114549,0.32233958501090065,0.47199860632365076,0.8031297579307458,0.34295403174604183,0.2556132082626715,0.26698256762868544,0.28656359738485304,0.34052333255883394,0.23314877660839697,0.2827049650247411,0.23480120379273028,0.34557800577364217,0.15784894266171143
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_normal-mean_HAR-vol_HARCH,8.903497219085693,0.3638819128460046,0.3271528719366844,0.485133284478404,0.8147613975512,0.3345372747412879,0.2615716186631629,0.28190871011142277,0.3171757328629266,0.2764556722332093,0.21796171610133838,0.3256339935153018,0.27460968794931195,0.35673198941585454,0.15878167760380638
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_normal-mean_AR-vol_HARCH,20.35595393180847,0.2711744292171728,0.3236411149421834,0.5579561479265955,0.8128228009012782,0.3603897633713537,0.24570286794816307,0.33351168560878175,0.34563106781652275,0.30635065919755555,0.4254481535711059,0.2963251801797182,0.23598420502069772,0.37624483964176064,0.16260619865903547
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_normal-mean_HAR-vol_HARCH,16.335842847824097,0.36589492106786714,0.737575941000215,0.4675770565477706,0.826601544736438,0.3875361388647416,0.2628831476421104,0.3080321954285653,0.3860915633978772,0.33875215281871046,0.22728912414291066,0.32551918019005266,0.25848296738870913,0.40768632776883074,0.18774498237167744
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_normal-mean_AR-vol_HARCH,26.61331081390381,0.2735601822908902,0.3450428938943105,0.5197513785668033,0.7027080738384649,0.4275368662438007,0.2915576237091846,0.31381550140481046,0.33122014387039,0.2683125642733729,0.2194463128192543,0.27636356492460273,0.207123368883771,0.3480365395599713,0.14131927391413354
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_normal-mean_HAR-vol_HARCH,22.488661527633667,0.3802012019038367,0.38910694000425333,0.5449227008702007,0.6304060350051742,0.33171602408114687,0.2662783872820682,0.4000615194764684,0.28830103022288905,0.2733775870091345,0.2617338114550951,0.3088457672141235,0.23510039604674418,0.3591709500475946,0.12070573840784811
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_normal-mean_AR-vol_HARCH,11.67524003982544,0.4086837465382783,0.4952156656807061,0.5758317228408626,0.5921492185341314,0.3447370895963441,0.2689039649130782,0.3169140435403478,0.31894901082046845,0.28158433483145273,0.2642594082955062,0.29889505384014897,0.20349182772306323,0.364134590596199,0.1266856398828473
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_normal-mean_HAR-vol_HARCH,13.864776372909546,0.476860019377529,0.4241833651161917,0.5697213252177744,0.6254792948525002,0.3607005084672437,0.28380485926549776,0.24669416699016988,0.25936566628346847,0.27884245315193623,0.2596872672444792,0.27546142488038966,0.2987062600830004,0.36329221757751506,0.13088251167083564
