validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_fold_12_test,MeanSquaredError_fold_13_test,MeanSquaredError_fold_14_test,MeanSquaredError_fold_15_test,MeanSquaredError_fold_16_test,MeanSquaredError_fold_17_test,MeanSquaredError_fold_18_test,MeanSquaredError_fold_19_test,MeanSquaredError_fold_20_test,MeanSquaredError_fold_21_test,MeanSquaredError_fold_22_test,MeanSquaredError_fold_23_test,MeanSquaredError_fold_24_test,MeanSquaredError_fold_25_test,MeanSquaredError_fold_26_test,MeanSquaredError_fold_27_test,MeanSquaredError_fold_28_test,MeanSquaredError_mean,MeanSquaredError_std
p01,AutoETS-auto_True,3.62194561958313,7.079848615424444,3.172890637757046,4.581963156249562,2.7051209943133414,9.708690422684292,3.7775013648157385,4.601297024555653,7.941145171294321,2.299378832189089,4.5627832360230185,2.1911299678906366,1.9772407369243974,2.4216157701959924,4.281826040135861,4.825337898902787,7.291362109702175,2.047777306961684,8.149327929090234,6.293344499808113,5.6958404559973355,3.0060929405629984,2.100106943919668,4.492990949154864,5.669208039403671,6.926452204665342,2.8788777108576356,2.2736023801356255,1.561165333507432,2.1034334925743114,4.366115591920596,2.2410497048078155
p01,StatsForecastAutoCES-model_Z,146.41053223609924,3.1159078312924913,2.8486518502191505,4.990640496964891,3.3344516964894155,4.466235264083083,4.662593068382962,4.872531480276772,2.3731695247894584,2.1195652110150713,2.477385139830997,2.765876231491899,2.566695497946029,2.7257744322494135,6.221603987685941,10.430358022132207,5.529585661908113,7.658894920750517,11.846526100869948,4.8197806127506135,5.7464126007805065,3.589785764836857,1.7663819394332738,5.255917384561553,4.261815053521738,4.100054588800606,3.9389613690244123,1.4131819887520973,2.5455844122715714,1.6438014884204644,4.278900814535588,2.4265880078813873
p01,StatsForecastAutoETS-model_ANN,1.164417028427124,5.020814600352372,2.2818037204003767,4.283535440767198,2.6902192585295905,6.4939350445704305,3.2128786700821497,4.278718010313345,4.1773077181059985,0.6497343137136238,5.869092892154447,2.191441688823932,2.230298336000515,2.499002401499611,5.312014278884722,9.211704003257726,4.848471646931631,5.744344964087882,11.074130281309335,3.6882680634320564,4.769139741401773,2.0892402910616834,1.3552697954009387,4.733624723237568,3.687194687582324,6.3002617859045404,3.9390029847253007,1.4131707841234205,2.545617802684944,1.643819589216671,4.077036466157107,2.3165014455781687
p01,StatsForecastAutoETS-model_MNN,0.16402745246887207,5.020814600352372,2.281803720400377,4.283535440767199,2.6902192585295905,6.4939350445704305,3.2128786700821497,4.278718010313345,4.1773077181059985,0.6497343137136238,5.869092892154447,2.191441688823932,2.230298336000515,2.499002401499611,5.312014278884722,9.211704003257726,4.848471646931631,5.744344964087882,11.074130281309333,3.6882680634320564,4.769139741401773,2.0892402910616834,1.3552697954009387,4.733624723237568,3.687194687582324,6.3002617859045404,3.9390029847253007,1.4131707841234205,2.545617802684944,1.643819589216671,4.077036466157107,2.3165014455781687
p01,StatsForecastAutoTheta-decomposition_type_additive,58.04083824157715,4.957422713916465,2.286897916049526,4.2941399993330345,2.6938918982112847,6.484491392968813,3.2161047057990113,4.280969566935988,4.170116195689234,0.6552358241767978,5.874151731364852,2.1914616824653357,2.2319599299014383,2.4991808935162863,5.315601307703695,9.23118339674014,4.843826739583919,5.755639077754366,11.082441883394651,3.681355340393726,4.76678149608171,2.0874475027619788,1.3561239334459185,4.734360752973887,3.685709583396814,6.298996987271138,3.943031266176639,1.41205558782553,2.548915554412211,1.6456532864053939,4.076729246436199,2.3174711771320937
p01,StatsForecastAutoTheta-decomposition_type_multiplicative,15.459450244903564,4.957422713916465,2.286897916049526,4.2941399993330345,2.6938918982112847,6.484491392968813,3.2161047057990113,4.280969566935988,4.170116195689234,0.6552358241767978,5.874151731364852,2.1914616824653357,2.2319599299014383,2.4991808935162863,5.315601307703695,9.23118339674014,4.843826739583919,5.755639077754366,11.082441883394651,3.681355340393726,4.76678149608171,2.0874475027619788,1.3561239334459185,4.734360752973887,3.685709583396814,6.298996987271138,3.943031266176639,1.41205558782553,2.548915554412211,1.6456532864053939,4.076729246436199,2.3174711771320937
p05,AutoETS-auto_True,0.6434736251831055,3.5294017033839635,1.8358412673056885,2.437668137836557,2.954850954325709,3.042554800715395,2.45962185277592,1.0198588376565698,5.448278331076593,2.5625603601764992,3.498259371977929,1.328159427998248,6.430057980509788,1.0863247297028766,2.1591774668540937,1.6533697645780165,2.373641825708494,2.7567909285608936,2.561293655729772,4.553135465843436,0.295613499007584,2.712354551483837,0.9879967718522348,5.402663076008894,1.6171801288528305,5.0804688339757735,2.3694622568796007,5.359257387337605,2.6871249238486974,,2.864391724712982,1.5564192458455854
p05,StatsForecastAutoCES-model_Z,36.311980962753296,2.5202070062022632,1.927203403172134,1.1897167720302881,3.069438212547009,3.8990006992717516,2.244338822244437,0.8510084325226397,4.748733140741058,2.0522410848861847,0.8556888228127826,0.8966697096015284,0.8096640681379229,2.1717704123883395,2.762305259423471,1.055841710172546,3.0347748608195353,4.165545694779802,3.0705133859036535,4.025424788257411,0.23502053268447423,2.701313389771516,1.2396556867801407,4.714499689492158,1.505225599719921,2.2208246578458226,3.030107355308253,5.291125383633809,5.7590578716451795,,2.57310415902843,1.4875872462068145
p05,StatsForecastAutoETS-model_ANN,0.1290302276611328,2.9517414064415624,2.467242708686076,0.5634421030505388,2.690285149382061,3.285521519534413,1.6696303027919248,1.019803902718756,4.098399913015807,1.8519215254074308,1.8820167018363119,1.908092037208696,1.3927104871631597,1.4852219808945812,2.033064851880496,1.4044074931915942,2.5694571897775864,3.4744626469718622,3.6798036246365293,5.536609499584115,0.29580399309972466,1.9593639701615577,1.1458324114992136,3.767369823701836,2.4704421774750487,1.5332731339744285,2.601209477536594,4.01026276413239,4.756468724151092,,2.446566482853764,1.2658899169274431
p05,StatsForecastAutoETS-model_MNN,0.14053702354431152,2.9517414064415624,2.467242708686076,0.5634421030505388,2.6902851493820603,3.285521519534413,1.6696303027919241,1.019803902718756,4.098399913015807,1.8519215254074308,1.8820167018363119,1.908092037208696,1.3927104871631606,1.4852219808945808,2.033064851880496,1.4044074931915942,2.5694571897775864,3.4744626469718622,3.679803624636528,5.536609499584115,0.29580399309972466,1.9593639701615582,1.1458324114992136,3.767369823701836,2.4704421774750474,1.5332731339744285,2.601209477536594,4.01026276413239,4.756468724151091,,2.446566482853764,1.2658899169274431
