validation_id,model_id,runtime_secs,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_fold_11_test,PinballLoss_mean,PinballLoss_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,18.477442264556885,0.22345047157914993,0.27700311839510894,0.5065517661888499,0.4801054565588584,7146398818627864.0,0.22428472495038287,0.232471630287156,22609944526.74648,0.2875886831930334,101465390552.12997,0.42870427674659606,23449364306382.926,597497688189110.6,2062380004436237.2
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,7.741759300231934,0.2507231300122291,0.34423453299970935,0.4475641715543509,591106.2681006283,0.282822770962038,5731588175257.086,695991.2956772055,17.203137919822026,8.868948729146195e+82,6336.8044323162,7.361414641748639e+21,0.3824558608724325,7.390790607621829e+81,2.5602449681007725e+82
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,12.496681451797485,0.2619644444333117,0.22526693072031526,0.43858862685273603,0.6801513088256724,0.4182896626945578,0.27737498276917577,0.2475858079528349,8.628738191347443e+18,2352765.470734756,1625690248.0259304,458.0680076115009,7.725685047835513e+24,6.438078063811422e+23,2.2302129445767787e+24
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,13.784889459609985,0.2546045475476496,0.28700292190903254,0.4787224953617636,0.7852137688451855,0.307071365795269,0.33284250804479987,164065.8230629127,2.0325345606939841e+83,0.27278162775903597,517972.94403089,21.738629588037853,18018786.59149323,1.6937788005783202e+82,5.8674218787694474e+82
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,16.542001247406006,0.24778522061612562,8896991.462516647,0.5298986175906908,0.6170174735515335,29890.262883106985,0.28411633479304155,4344118.030170038,0.3462122506821347,0.21960207555820344,255573.1290257784,376485.2559906262,321372182884.18317,26782173828.71403,92771793327.93071
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_GARCH,12.668560981750488,0.24480144581154784,0.3103608270027993,0.5799712842900178,0.820455256194941,0.38841808216891655,0.36005528451404134,6.567784881090752e+51,1.9737972709008397e+18,153.6298610458941,891.1474145862326,3.0327542783411904e+56,4.596989836458107e+37,2.5273499634916674e+55,8.754790261002058e+55
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_GARCH,20.074683666229248,0.21177167127494084,0.24451688208871186,0.4496862056092056,629964.7254956791,0.3394474074906295,44671.87708599614,0.22496873371049653,20369551901742.375,367674978073.5942,3.573286452100737e+16,0.33960703157171257,304725835736175.94,3004860632024833.5,1.0307017162861556e+16
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_GARCH,18.235339879989624,0.22799325804420226,0.28481457288096323,0.4788635721937921,0.6802237684817849,0.3202949321192662,3205254.2795684705,637384344268.7712,4508185.953453559,59234.56553029228,0.2050913917758328,1.3453730992941501e+148,254615004706275.47,1.1211442494117918e+147,3.883757605189794e+147
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_GARCH,24.62572479248047,0.23109121293477924,0.2362417265306471,0.511751545927013,0.8140915877022457,0.29830467969419006,8.96232298247202e+28,0.20890719428330318,2909.3089894324908,0.3188228374305898,0.21698129414855646,5419786279588.442,394991.10890686366,7.468602485393351e+27,2.587199793247295e+28
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_GARCH,28.056610822677612,0.21800953214884164,0.2906916854629685,0.5982193541805736,0.6887991152744474,0.28855923219032487,0.31484858138220606,206243.86975819746,7.551131036571317e+44,32826975566.36549,3.460479206474265e+150,6.221704395380459e+22,0.18346598590269655,2.8837326720618873e+149,9.989543006915097e+149
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_GARCH,26.751786708831787,0.22368204658584948,0.2208803687596224,0.4893759738992409,1.025876627818875,0.35802955703666106,0.37445293871569424,677230705.6492523,51997273.02780687,1.4670720457928352,0.30382517606032866,1521305362677.462,6.995606909971476e+52,5.82967242497623e+51,2.0194577663084188e+52
