validation_id,model_id,runtime_secs,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_fold_11_test,PinballLoss_mean,PinballLoss_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_normal-mean_AR-vol_GARCH,20.997158527374268,0.30888101544621915,0.3211201362290568,0.45251665627255805,0.6875637071727485,0.28199586236487767,0.22482330225010455,0.24040351903832255,0.265940911026656,0.26550639945867605,0.22595394966864465,0.2633179530660423,0.20826717419870147,0.31219088218271734,0.13461360046546308
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_normal-mean_HAR-vol_GARCH,19.9607150554657,0.28114780969476716,0.3025726098692707,0.442902875808334,0.6266051168249427,0.31102112508046786,0.231449053691428,0.22582493630723655,0.26973440707530516,0.2742820022890885,0.22168181132270381,0.2659581326465596,0.20524110206334317,0.30486841522278724,0.11883588195175733
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_normal-mean_AR-vol_GARCH,24.05293607711792,0.3209316531870833,0.3272649574716183,0.4579962598576606,0.7104838467962921,0.26843039013617265,0.26773169219689796,0.23630487772019604,0.2685725172180283,0.26719344439259896,0.2305386219185522,0.25507023273221385,0.18504697251303898,0.31629712217836276,0.14131552034939981
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_normal-mean_HAR-vol_GARCH,21.973737001419067,0.29278535396862454,0.33518387083041445,0.4855007725957109,0.6720668027306155,0.27796646572034067,0.26150212856510335,0.2555050984727988,0.2849545055322825,0.26702911651953126,0.22958382108652856,0.26493093368357673,0.18789553720058205,0.3179087005755091,0.13290530902652306
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_normal-mean_AR-vol_GARCH,29.059178829193115,0.3283080143694317,0.3099911638947237,0.4838306192666352,0.6282115632462203,0.28822507465644,0.2725154000732746,0.24671159916157814,0.29237250312194263,0.29912759059285243,0.21870905262722012,0.25663233292511367,0.15820040738166888,0.315236276776425,0.1250529731432388
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_normal-mean_HAR-vol_GARCH,30.39268469810486,0.3036294532529096,0.30338430483504525,0.4277584968126179,0.5725713621266131,0.27874542433174965,0.27125121897110016,0.24730118478200602,0.26758136606311844,0.31959862230646896,0.23372790350031958,0.26292941518086593,0.18520435005174757,0.30614025851788024,0.1020803260981537
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_normal-mean_AR-vol_GARCH,30.6852388381958,0.22745583431232314,0.27158681903515036,0.48872851185851507,0.5379577118656964,0.31133795058911806,0.24458322291769746,0.24361386434220228,0.256282417955065,0.25406830938548963,0.22664788207651618,0.2659606575792583,0.19918302935950732,0.29395051760637825,0.1065902593170081
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_normal-mean_HAR-vol_GARCH,30.207887649536133,0.23062923840787988,0.2758030360164743,0.4997470530076899,0.7718267298334135,0.2533483443832293,0.24766641773633258,0.23502521605601395,0.30076675234035355,0.24454591819440413,0.23035001436107336,0.3166024679995238,0.19112549819502617,0.3164530572109512,0.16344634169237107
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_normal-mean_AR-vol_GARCH,37.36205720901489,0.2669655005242405,0.2773733629513713,0.4591553644507587,0.6757614006584316,0.3153293581265241,0.27524570344903554,0.23430975228723763,0.26524707548508886,0.25901015555443274,0.24070766196980764,0.24230446327552418,0.18121213819720972,0.30771849474413854,0.13362812026331305
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_normal-mean_HAR-vol_GARCH,34.543474435806274,0.2296885647011315,0.274936482395664,0.4997464570916277,0.6817238996171746,0.31430653700093025,0.2499043673110759,0.2485342377346882,0.27131925527558387,0.2450456916722722,0.23611315555741136,0.3151640607760986,0.20818446661344386,0.3145555979789252,0.1383632834716605
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_normal-mean_AR-vol_GARCH,42.82343888282776,0.23988054022317098,0.3099188890938334,0.5197131801470285,0.6020340311380853,0.2640100226153034,0.27845968893358347,0.25536941713401784,0.27693461449808526,0.2522272362171644,0.23843831023050055,0.24672172429362588,0.17935495506854987,0.3052552174660791,0.12454601490538914
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_normal-mean_HAR-vol_GARCH,41.61872100830078,0.2372461283881463,0.32367651540632575,0.5040530675444804,0.6196576185354241,0.26083355752398046,0.2813810804911231,0.24323624920574127,0.2836043596089316,0.2482125954007941,0.23548378525170072,0.2545514217760565,0.1840162500633673,0.30632938576633933,0.12633657618961108
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_normal-mean_AR-vol_GARCH,26.68392777442932,0.25319960323523366,0.3091230284284999,0.4655544747420863,0.584384815971734,0.27432068952097977,0.2444689236047921,0.22463364315008957,0.2792905707636072,0.2742416336757338,0.2447770925140493,0.30002491649470564,0.18530643657275694,0.3032771523895223,0.1116599588075019
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_normal-mean_HAR-vol_GARCH,25.60819673538208,0.27289458349412055,0.2690754999357835,0.5190180747409296,0.5722216701990581,0.30803035436362386,0.2654075527786466,0.24330930387245336,0.2730488848982273,0.29473958058597705,0.2269358666757157,0.27786663045955884,0.19640649467724508,0.3099128747234449,0.11456410023361137
