validation_id,model_id,runtime_secs,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_fold_11_test,PinballLoss_mean,PinballLoss_std
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,16.615089654922485,0.29786760503509263,0.5058513722134821,0.5345473563021005,0.560092653539968,262141793583503.3,0.3390656091857688,2.23938425709309e+53,0.29508116393887623,0.4025317279123671,2.489681061352403e+27,1.9708388297510932e+98,0.24361624985016272,1.6423656914592444e+97,5.689321644430804e+97
p02,ARCH-p_15-q_12-o_12-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,12.623011827468872,0.2914230323998743,0.3301929581817575,0.5532439042298206,0.532044636419996,1.0042195599658221e+67,0.3011946159211287,0.29452582571109875,0.342555517483885,0.3635431615449097,7.191995939182721e+85,0.4550699029438409,6.984031544768155e+100,5.820026287306802e+99,2.0161162462003658e+100
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,21.756341457366943,0.21905020918528076,0.3400195733525875,0.6345331292620222,0.6725717272996212,0.4337482513359654,0.32953770898887214,0.21435474339644728,0.24264530420592095,0.3048419692037712,1.1343956417210696e+16,0.3024362988251684,0.20849750335802064,945329701434225.0,3274718145575989.0
p02,ARCH-p_15-q_12-o_12-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,21.589980125427246,0.3927866431870217,0.44274833859059554,0.33857879114520817,0.36562550131294014,0.36935384563022083,0.29788603775801137,0.26141690710086196,0.32315108479943466,6.76328812118176e+84,0.2764255088658535,0.35245256069729736,0.18973523879669132,5.636073434318133e+83,1.952393108685644e+84
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,23.916361331939697,0.2365604776937418,2.6719209089311766e+21,0.556682181615752,0.42470773199494044,0.30877480645708544,0.30239220295001923,0.21423711897834424,763556869630175.8,1672749503699225.2,4058541966111162.0,0.3863103060219524,0.1821218561277604,2.2266061698162632e+20,7.713169575677808e+20
p02,ARCH-p_15-q_12-o_12-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,25.686917066574097,0.23643375777653808,0.38146427082524664,0.6121769393498144,4.534504738158048e+57,0.34890611941560645,0.2983358656502528,2.137524499096774e+79,0.30724640248846635,0.4860230937374048,0.3353713039326699,0.42417445973585133,0.20805147589412226,1.7812704159139783e+78,6.170501724764712e+78
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,14.410628318786621,0.2708864324794432,0.4053249823594429,0.6499011695908952,0.41878871822126623,258498771677616.44,0.2488718399713121,2.2402973317522202e+53,0.4985779604797721,0.31069750081592806,2.446695128736911e+27,1.9706471479381158e+98,0.19327946168154814,1.6422059566150965e+97,5.688768306699197e+97
p02,ARCH-p_15-q_12-o_24-lags_24-power_1-dist_ged-mean_HAR-vol_HARCH,11.90047311782837,0.2869145539484827,0.3966929794777798,0.565816116234384,0.7586397458290489,1.0040043453163223e+67,0.46913297426647194,0.3648671235585311,0.23840281929411725,0.2826085163498132,7.193289869453218e+85,0.4177234463933971,6.984016775907845e+100,5.820013979923209e+99,2.016111982797628e+100
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_AR-vol_HARCH,23.60708212852478,0.21801423701900016,0.32477043267492867,0.8486006381222022,0.5504933480527205,0.3881159500130177,0.3917662647486033,0.23405441781568326,0.28613531592649905,0.3008594913059152,1.1226013357196128e+16,0.3920434650753356,0.22771499818921448,935501113099677.6,3240670916851759.5
p02,ARCH-p_15-q_12-o_24-lags_36-power_1-dist_ged-mean_HAR-vol_HARCH,21.287989616394043,0.22180661771955668,0.5117656179411391,0.613422574197736,0.47376941390673677,0.30143779878857924,0.3225239164218813,0.2883679582068424,0.29029310013864706,6.7625584660640144e+84,0.36082249247479337,0.34783629399559307,0.2200910629635323,5.635465388386679e+83,1.952182475396321e+84
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_AR-vol_HARCH,21.201611757278442,0.22754702607607363,2.407903830260624e+21,0.560725523657094,0.46134015018824415,0.32832115585966437,0.30274359709098897,0.2276404559505536,742827237741003.8,1717897915462754.0,3983503383478604.5,0.391461448570802,0.18149142175488936,2.0065918954076334e+20,6.951017931757309e+20
p02,ARCH-p_15-q_12-o_24-lags_48-power_1-dist_ged-mean_HAR-vol_HARCH,24.099030017852783,0.26691660680078827,0.4325360448143359,0.5505535280480651,4.53672437875384e+57,0.3028600251017625,0.3738269458839458,2.1371971121846557e+79,0.3160114699592232,0.25995535974640854,0.31430446244205745,0.447588049166598,0.20386971383065938,1.780997593487213e+78,6.169556640155509e+78
p02,ARCH-p_15-q_24-o_12-lags_24-power_1-dist_ged-mean_AR-vol_HARCH,14.883992195129395,0.2785210772954505,0.3972116669242427,0.5328198661438146,0.6019595217580189,264039731985884.44,0.29482673928553826,2.244413529491354e+53,0.3097728616079398,0.26252954880015966,2.5188783820549976e+27,1.970625165817297e+98,0.2251652327849408,1.642187638181081e+97,5.688704849782337e+97
