validation_id,model_id,runtime_secs,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_fold_11_test,PinballLoss_mean,PinballLoss_std,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_fold_11_test,MeanSquaredError_mean,MeanSquaredError_std
p02,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,284.06289529800415,0.23006032610005023,0.1999825427778509,0.47657104855606686,0.31067958013574326,0.3311049023701454,0.3083616133251967,0.18921751924129424,0.17429297484644632,0.18436020864161656,0.1488456713313766,0.301997854521144,0.15635257920182702,0.2509855684207299,0.09692015242559499,1.3700210660933205,2.432629744416217,2.7223929508181004,3.172232041420309,2.9276386255396627,2.577186404491566,1.4719902332138335,0.6418656271096389,1.3909699096082324,0.6072398621352119,2.6222470113229974,1.3511366492297574,1.9406291771165707,0.8981605975749198
p02,NaiveForecaster-strategy_last,2.936544179916382,0.23885909088589885,0.3208882630856823,0.6156793308992139,0.36186819512628915,0.35121293239479534,0.2784853592149202,0.42060471512986264,0.3129721512579695,1.1487070341367525,0.16839862767460764,0.5174455636510051,0.1644129747985999,0.40829451985463305,0.2676516717402144,1.555813470681995,2.8517781977020737,3.363364717395695,2.967719850510002,3.0199797644649506,2.3100324673043016,2.899161756247638,3.543303543305315,5.553990057207121,3.0210603362984254,3.852127839115531,1.5775332361351735,3.042988769697352,1.056287999876115
p02,NaiveForecaster-strategy_mean,2.022287368774414,0.1877251612089859,0.21835605850117906,0.2117681152021469,0.4309986626214559,0.28666731628870556,0.23227132590881897,0.2275423068069285,0.2297592275324539,0.27394746929359365,0.229362174204583,0.2721020340844639,0.2335393241472251,0.2528365979833783,0.06276711771617854,1.6154339530523625,2.4492327660556534,1.9214881765309473,4.207963252284725,3.0979670751977593,1.78002255314169,1.8321601978736157,1.935144629540784,2.2434328430194532,2.2937520877612316,3.346019099865571,1.5441814606260358,2.3555665079124855,0.8070835511329196
p03,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,424.39525842666626,0.17755962248706714,0.15016947057268998,0.6319922697824398,0.18166879212045667,0.21774619138610113,0.20935206800376147,0.19980521413668964,0.30936239779425206,0.9639952986887252,0.2165983543592604,0.21252832943666244,0.19139782168016642,0.30518131920402275,0.2437846528094722,0.5434438057926566,1.304825918977656,4.101606653210284,2.4673369254628787,1.5222123330686208,3.096061923160565,2.5834987928419952,3.1492362001208756,6.237032746594387,1.9364964171636834,1.4179033273367359,1.9721772774481146,2.527652693431538,1.5161526133861378
p03,NaiveForecaster-strategy_last,0.6381936073303223,0.1272391174552973,0.1429020960375446,0.9704964062097985,0.25014329409734454,0.25696871029059537,0.19403448444058086,0.17569326233687707,1.345035573733757,3.142342109777598,0.7957755017328739,0.1700353135241544,0.1704831644883298,0.6450957528437292,0.8819649342434646,1.4236592132794827,0.9542303472199757,5.195804931758783,2.384760644872632,2.1350578966909124,2.7634519475950117,2.598423667448316,5.819142099375755,10.199278296907961,4.906769700005177,0.7895146188218004,2.200284072568813,3.4475314530453844,2.6861727608703183
p03,NaiveForecaster-strategy_mean,2.558626413345337,0.214761526125449,0.21633492516587008,0.4564855264942569,0.24626317633032727,0.2513979024702345,0.24288165513832977,0.24328535755932887,0.26317916880713377,1.031472582401125,0.5004006442969731,0.24990572039410486,0.25186130107273375,0.3473524571879889,0.23451498647182092,1.6532451648768303,1.626445052397592,3.6522273211610927,2.219258061093055,2.1418243098087877,3.044512378348161,2.650142370237852,3.001122981569019,6.316935751540862,3.853172855547696,1.534843495110975,1.869349813843472,2.7969232962946164,1.3570136691350556
p04,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,276.4706988334656,0.19393720009679405,0.1828408903119697,0.17905969952644782,0.1574416757853428,0.4402935945231641,0.1562421776002344,0.1871483354070804,0.16750727087097514,0.16157355807169235,0.16558277692755585,0.17301565579611491,,0.19678571226521563,0.08169041832691758,2.0189576574388526,1.9826365645504143,1.757733371595039,1.1866020391131111,3.1337115991906246,1.5866023547184673,1.730346787827569,2.03247796926903,1.6540226810292826,1.7853870102966136,1.6930475095850999,,1.8692295949649185,0.4819550295480207
p04,NaiveForecaster-strategy_last,2.605989456176758,0.17228876597422804,0.18057894708367234,0.3112795583095451,0.19445834439437173,0.28975213694107144,0.34993082573233436,0.18599175846702895,0.31035942586206033,0.19284542307059657,0.19127183099838546,0.48127147586802366,,0.26000259024557437,0.0980340068414636,0.9615525639991468,1.480099471131736,2.322213084777345,1.9514239814954508,2.3108440016582685,2.8958782970130343,2.6676560664540117,3.116956314526507,1.3417960600130951,1.2476088240220882,4.332467862290242,,2.238954229761902,0.9929284647283253
p04,NaiveForecaster-strategy_mean,1.4720878601074219,0.22766597853890025,0.19871195357918536,0.18808528458247112,0.18401164706251197,0.3719541058029174,0.1804922475719417,0.1972930530922604,0.1869559788628475,0.18260704153775525,0.18350810766217873,0.19566447907161816,,0.20881362521496258,0.05570431638251977,1.771577219844485,1.5038982335204507,1.810336922373983,1.500215907744657,2.885568720975232,1.2742378485489654,1.9604268105055314,2.113518093101505,1.380815118191063,1.6503993436329802,1.9579017008905244,,1.8008087199390344,0.44501676181085653
p10,AutoARIMA-start_p_2-max_p_216-start_q_2-max_q_216-seasonal_False-n_jobs_-1,284.6871178150177,0.2266687511131933,0.2517569352751701,0.3284275078510137,0.15048574518441687,0.14269155049447585,0.3196973310683649,0.14395516247810952,0.11068203206081027,0.10753131585351922,0.23564221036944785,0.21550454943377514,,0.2030039173802088,0.07812021412034541,1.522901977693272,1.6699900413297544,2.1589218468262477,1.5541135361018452,1.3555921594890081,2.2358100651735535,1.3206822006847987,0.5305683154601507,0.8361841477278135,0.8512056400434238,0.8164521234287095,,1.350220186723507,0.5552296389772945
