validation_id,model_id,runtime_secs,MeanSquaredError_mean,MeanSquaredError_std
p02,AutoETS-auto_True,4.274457693099976,3.408050862184823,1.8262201061530847
p02,StatsForecastAutoCES-model_Z,141.23140263557434,2.9987247000407207,1.4320326111839772
p02,StatsForecastAutoETS-model_ANN,1.207740068435669,3.0949354265587723,1.4852448891266676
p02,StatsForecastAutoETS-model_MNN,0.3179352283477783,3.0949354265587723,1.4852448891266676
p02,StatsForecastAutoTheta-decomposition_type_additive,164.26327300071716,3.094997466437203,1.4851034019358091
p02,StatsForecastAutoTheta-decomposition_type_multiplicative,124.43153190612792,3.094997466437203,1.4851034019358091
p03,AutoETS-auto_True,1.812485933303833,3.867423188900082,2.381334700195843
p03,StatsForecastAutoCES-model_Z,33.72837972640991,3.962075890412649,2.413236341037259
p03,StatsForecastAutoETS-model_ANN,0.3492183685302734,4.0823085009247,2.5063743948748
p03,StatsForecastAutoETS-model_MNN,0.3347907066345215,4.0823085009247,2.5063743948748
p03,StatsForecastAutoTheta-decomposition_type_additive,141.83679056167605,4.08402655479181,2.507634962013349
p03,StatsForecastAutoTheta-decomposition_type_multiplicative,137.49383878707886,4.08402655479181,2.507634962013349
p04,AutoETS-auto_True,1.1800127029418943,2.4340727675937397,1.762487219742752
p04,StatsForecastAutoCES-model_Z,0.930793046951294,2.340883449132876,1.3622999104424458
p04,StatsForecastAutoETS-model_ANN,0.3170440196990967,2.345194539080787,1.4388896171744323
p04,StatsForecastAutoETS-model_MNN,0.3092010021209717,2.345194539080787,1.4388896171744323
p04,StatsForecastAutoTheta-decomposition_type_additive,125.48156905174255,2.3452454298220404,1.4389985055992545
p04,StatsForecastAutoTheta-decomposition_type_multiplicative,132.75699067115784,2.3452454298220404,1.4389985055992545
p10,AutoETS-auto_True,1.8335521221160889,2.216316169671191,0.9430739504850228
p10,StatsForecastAutoCES-model_Z,1.089103937149048,1.8163701691860292,0.884955249879972
p10,StatsForecastAutoETS-model_ANN,0.3378012180328369,1.7959324663680591,0.8488084959181996
p10,StatsForecastAutoETS-model_MNN,0.3404793739318847,1.7959324663680591,0.8488084959181996
p10,StatsForecastAutoTheta-decomposition_type_additive,129.41539311408997,1.7954126027164703,0.849087288142092
p10,StatsForecastAutoTheta-decomposition_type_multiplicative,128.0635802745819,1.7954126027164703,0.849087288142092
p11,AutoETS-auto_True,1.2788760662078855,2.979662298857894,1.8525365450132911
p11,StatsForecastAutoCES-model_Z,1.0021905899047852,2.9382829399012125,1.8136036460528788
p11,StatsForecastAutoETS-model_ANN,0.3134288787841797,2.897059076875681,1.7396692956888482
p11,StatsForecastAutoETS-model_MNN,0.323183536529541,2.897059076868921,1.7396692956918305
p11,StatsForecastAutoTheta-decomposition_type_additive,106.06913495063782,2.8980338062557838,1.740230561492678
p11,StatsForecastAutoTheta-decomposition_type_multiplicative,111.9511697292328,2.8980338062557838,1.740230561492678
p12,AutoETS-auto_True,1.7846617698669434,2.655892310348682,2.0575766707221863
p12,StatsForecastAutoCES-model_Z,1.2774076461791992,2.689180503955065,2.105515450542538
p12,StatsForecastAutoETS-model_ANN,0.3294999599456787,2.662352397724053,2.0847967517422195
p12,StatsForecastAutoETS-model_MNN,0.3387203216552734,2.662352397724053,2.0847967517422195
p12,StatsForecastAutoTheta-decomposition_type_additive,126.40870642662048,2.663597596028497,2.085545643937078
p12,StatsForecastAutoTheta-decomposition_type_multiplicative,126.789226770401,2.663597596028497,2.085545643937078
