validation_id,model_id,runtime_secs,PinballLoss_mean,PinballLoss_std,MeanSquaredError_mean,MeanSquaredError_std
p02,AutoETS-auto_True,3.6022047996521,0.476778818315906,0.085805556901974,3.620624631828408,1.6691912167625993
p02,StatsForecastAutoCES-model_Z,61.79876255989075,0.9955717614534554,0.4147453473187654,2.9342288979540787,0.9643081999894504
p02,StatsForecastAutoETS-model_ANN,2.73217248916626,0.4082315011860521,0.2676316540455824,3.042977607730601,1.056278532076225
p02,StatsForecastAutoETS-model_MNN,0.8890509605407715,0.3548293560240266,0.1513526752685789,3.042977607730601,1.056278532076225
p02,StatsForecastAutoTheta-decomposition_type_additive,27.091785192489624,0.3934497765399931,0.2248962829984189,3.0417774216200293,1.0554952646388496
p02,StatsForecastAutoTheta-decomposition_type_multiplicative,26.54676055908203,0.3934497765399931,0.2248962829984189,3.0417774216200293,1.0554952646388496
p03,AutoETS-auto_True,1.082713603973389,0.483685961354531,0.0754225080190005,3.479550351577634,2.814087933047161
p03,StatsForecastAutoCES-model_Z,61.72586703300476,1.2614509689476754,1.220649694729612,3.467258919069044,2.74045364375737
p03,StatsForecastAutoETS-model_ANN,0.3306982517242431,0.6450737185196034,0.8819123102367523,3.4475323152464825,2.686170619147958
p03,StatsForecastAutoETS-model_MNN,0.3163919448852539,0.7292532641260278,1.1142732928983277,3.4475323152464825,2.686170619147958
p03,StatsForecastAutoTheta-decomposition_type_additive,29.02245545387268,0.6592278819957981,0.9213605920672188,3.447777267831797,2.6860672937325165
p03,StatsForecastAutoTheta-decomposition_type_multiplicative,25.36480665206909,0.6592278819957981,0.9213605920672188,3.447777267831797,2.6860672937325165
p04,AutoETS-auto_True,0.623539924621582,0.5243320514669718,0.0144089176275739,2.31428477766301,1.0966593897021355
p04,StatsForecastAutoCES-model_Z,57.07465958595276,0.6591064340275042,0.3924197059149815,2.1773986368632468,0.8456347090946159
p04,StatsForecastAutoETS-model_ANN,0.1751854419708252,0.2600298151921243,0.0979795102546302,2.23895552151374,0.9929344732775272
p04,StatsForecastAutoETS-model_MNN,0.1740088462829589,0.2644455349597971,0.0650828989563118,2.23895552151374,0.9929344732775272
p04,StatsForecastAutoTheta-decomposition_type_additive,23.880935192108154,0.2545478783555926,0.0751405021107432,2.2387838305058314,0.9940894080194588
p04,StatsForecastAutoTheta-decomposition_type_multiplicative,20.51743030548096,0.2545478783555926,0.0751405021107432,2.2387838305058314,0.9940894080194588
p10,AutoETS-auto_True,0.7493677139282227,0.3732540365093004,0.0228083940639724,1.973768415631412,0.6549793277119224
p10,StatsForecastAutoCES-model_Z,41.74967408180237,0.5210989107353368,0.3204130575177228,1.7826221383981309,0.8475372859358041
p10,StatsForecastAutoETS-model_ANN,0.1754074096679687,0.2067312266414312,0.0762010118366679,1.7341360361382767,0.6457070513891453
p10,StatsForecastAutoETS-model_MNN,0.2043585777282714,0.2446416469696,0.0957703183948422,1.7341360361382767,0.6457070513891453
p10,StatsForecastAutoTheta-decomposition_type_additive,21.1218364238739,0.2271420741856635,0.0923191459431601,1.7338430297569103,0.6452891044186111
p10,StatsForecastAutoTheta-decomposition_type_multiplicative,19.87853217124939,0.2271420741856635,0.0923191459431601,1.7338430297569103,0.6452891044186111
p11,AutoETS-auto_True,0.7221574783325195,0.4480701714054638,0.0532616220966472,2.9526535824796216,1.3256347217994937
p11,StatsForecastAutoCES-model_Z,42.55020833015442,0.9134436382767226,0.5714414008789823,2.87631215392748,1.4114892419446132
p11,StatsForecastAutoETS-model_ANN,0.1658575534820556,0.3615644154943965,0.3224356925992808,2.8011252803644493,1.4213467075767467
p11,StatsForecastAutoETS-model_MNN,0.164377212524414,0.3811296357531513,0.3630210604251621,2.8011252803477174,1.421346707585087
p11,StatsForecastAutoTheta-decomposition_type_additive,23.101943492889404,0.3736925762127898,0.3326351943626418,2.802813718268612,1.4236600479779251
p11,StatsForecastAutoTheta-decomposition_type_multiplicative,21.766089916229248,0.3736925762127898,0.3326351943626418,2.802813718268612,1.4236600479779251
p12,AutoETS-auto_True,0.8127596378326416,0.3797620660503536,0.0462908163891761,2.5511347268182387,2.1250704253924693
p12,StatsForecastAutoCES-model_Z,40.841676235198975,0.8732989979595548,0.8899993217383632,2.63256732182837,2.28610935335533
p12,StatsForecastAutoETS-model_ANN,0.1748199462890625,0.5009484704957213,0.596686524679999,2.6553611347596937,2.215755136207838
p12,StatsForecastAutoETS-model_MNN,0.1673095226287841,0.5224766849412197,0.7181379361308059,2.6553611347596937,2.215755136207838
p12,StatsForecastAutoTheta-decomposition_type_additive,22.12235713005066,0.5029962717584685,0.6276432112461439,2.658062415950091,2.217572226471856
p12,StatsForecastAutoTheta-decomposition_type_multiplicative,19.297173261642456,0.5029962717584685,0.6276432112461439,2.658062415950091,2.217572226471856
