model_class,model,cov_bucket,aleppo_2017__rmse,aleppo_2017__wql,aleppo_2017__sharpness_50,aleppo_2017__coverage_50,aleppo_2017__sharpness_80,aleppo_2017__coverage_80,aleppo_2017__brier_3_9,aleppo_2017__dilate_g001,aleppo_2017__shape_g001,aleppo_2017__temporal_g001,brown_2019__rmse,brown_2019__wql,brown_2019__sharpness_50,brown_2019__coverage_50,brown_2019__sharpness_80,brown_2019__coverage_80,brown_2019__brier_3_9,brown_2019__dilate_g001,brown_2019__shape_g001,brown_2019__temporal_g001,lynch_2022__rmse,lynch_2022__wql,lynch_2022__sharpness_50,lynch_2022__coverage_50,lynch_2022__sharpness_80,lynch_2022__coverage_80,lynch_2022__brier_3_9,lynch_2022__dilate_g001,lynch_2022__shape_g001,lynch_2022__temporal_g001,tamborlane_2008__rmse,tamborlane_2008__wql,tamborlane_2008__sharpness_50,tamborlane_2008__coverage_50,tamborlane_2008__sharpness_80,tamborlane_2008__coverage_80,tamborlane_2008__brier_3_9,tamborlane_2008__dilate_g001,tamborlane_2008__shape_g001,tamborlane_2008__temporal_g001
naive,naive_baseline/Average,bg_only,3.3937112544935437,1.0169238626745292,4.159647776407216,0.4646992104642941,7.612684550719138,0.7467151779401366,0.0431906309455636,554.1655074967982,1105.233155576247,3.097859417349095,3.054431269447898,0.9021466389165008,4.069250015357225,0.4933025947317757,7.416477355153379,0.7844031679355912,0.019562060890262,449.2022574201826,895.1598909088983,3.244623931466851,2.9043771360346597,0.8535541241151701,4.09925951418705,0.5365792918943533,7.61701881339005,0.8124288479052825,0.0242225428166434,406.3812677463724,809.2511728649312,3.5113626278136976,3.5487159165128754,1.0429218086553016,4.340235295509992,0.4743718311383169,7.985170504480189,0.7597152661843815,0.0456933824686457,605.8367483895233,1208.4697232559622,3.203773523084472
naive,naive_baseline/Naive,bg_only,3.4952879794265845,1.0354491212157806,2.6439355313370903,0.3479161756618744,4.9608869384531,0.5840403802341111,0.0551722795864244,588.4969089795443,1172.3049205121192,4.688897446969484,3.6922946620927775,1.100690305947973,2.7468434938987967,0.3408074078935853,5.15397590045098,0.5705483722761879,0.0312046667327081,656.4561027177275,1308.248577753183,4.663627682271699,3.992925878125039,1.200182474357573,3.124086231584886,0.3369869933970856,5.861806536951703,0.5747061418488161,0.0397508092502642,767.2686110763738,1530.0664917945282,4.470730358219065,4.217486675175201,1.4476971945096166,8.256498468296241,0.5716471897607123,15.491888861607304,0.7788414718976071,0.0884479015755554,855.7532344969915,1707.0290718583628,4.4773971356198725
statistical,statistical/AutoARIMA,bg_only,3.4415594573578563,1.0042186191409344,5.516037725021486,0.6155088773666431,10.3498890868322,0.8592117409065912,0.0642180829089506,525.6233984886851,1038.124351191598,13.122445785772266,3.5085939223426847,1.002904109094744,5.236816064882439,0.5822968626936204,9.825978019297027,0.8463370744727401,0.0409239066640859,556.1082370522691,1098.1880219933398,14.028452111198492,3.568968539411156,1.0149075837514112,5.160426711355203,0.5740657729963571,9.68264663255989,0.8444081568761383,0.0442331481421064,564.404368807569,1115.7546429932586,13.054094621879685,3.931950724499344,1.165608416957333,6.019922921568799,0.5778042493662277,11.295342355417493,0.8294794951462315,0.0718499102936854,701.6339298221956,1389.2781020769155,13.989757567475513
statistical,statistical/NPTS,bg_only,3.416370620810532,1.0255928427524488,4.077543462291738,0.4552522782622358,7.469971279049309,0.7340865346845786,0.0434232159028317,429.794717482636,841.4037171123063,18.185717852965617,3.1079710886196383,0.9183142344464624,4.002586860794172,0.479888640938129,7.301688828621368,0.7690639494180449,0.0196452244886764,336.40433585045685,656.3419067209477,16.466764979965912,2.9715014124585646,0.8759029215798174,4.057962504515797,0.5178022540983607,7.501329817805102,0.7971347051457196,0.0243051702133991,295.30552679272,577.3844898252103,13.22656376022967,3.5687325990633667,1.0526525722985258,4.224360971817058,0.4629706918938972,7.769703080325544,0.7438381098126507,0.0458467533780559,429.4713496546207,847.4883134863823,11.45438582285928
statistical,statistical/Theta,bg_only,3.5480127362541976,1.0436596526285011,2.8041968467411773,0.3670359022704062,5.123198328240043,0.5962762196559038,0.0591404144052597,578.4895330728485,1133.1009405756652,23.878125570032253,3.7345910325015614,1.101887638950181,2.920005151687312,0.3615368206878446,5.334777932328933,0.5878757547912838,0.0349718531074399,640.1164610392956,1258.6871317430337,21.545790335557697,4.02944733029654,1.198817994356825,3.3179202903417173,0.3574361054189435,6.061759297722118,0.5914304417122039,0.0441840132857349,739.8361436769193,1457.9163734539825,21.75591389985649,4.255184679000628,1.3391266907423298,6.900398788450945,0.5627627836517654,12.62109090895997,0.7741490447041365,0.0918408416661276,749.1136668936334,1478.2129805113343,20.014353275932407
deep_learning,deepar,bg_only,2.8621463680680312,0.847248657580568,5.252281696725262,0.6861423717495482,10.097484599362897,0.9233688820802892,0.0447146234029291,212.19274520567905,407.9903393439091,16.395151067448943,2.7327536864129254,0.8153202609313027,5.323421948134245,0.7367856830314169,10.270640971341166,0.9368190469939616,0.0252724231708353,188.5906100624706,362.8148986925226,14.366321432418577,2.629881776926638,0.7800569172056889,4.31521997908913,0.6242173269581056,8.606705741667689,0.892855618169399,0.0256870168272719,183.3639629918717,352.5366847665775,14.191241217165958,3.5374039477891093,1.016582809609567,4.764987593697708,0.5438587847028998,9.336152438957155,0.8454667887837753,0.0482074451518476,389.08075821865896,763.3718277964108,14.789688640906991
deep_learning,patchtst,bg_only,2.6788574107356498,0.7701586201114765,3.427138431753821,0.5111924542383534,6.681113463140991,0.8359872142352109,0.0408676785462629,224.43508274511737,430.4449255795452,18.42523991068952,2.47690434270442,0.7093885463921249,3.5080536458099467,0.5843698039730462,6.811951814690029,0.8846591406318368,0.0196282097501847,196.42057682231737,377.6724381825872,15.16871546204765,2.451244781091121,0.7049868951207703,3.5608662928387567,0.5890397313296905,6.910846832084074,0.8879639116575591,0.0239101493729854,195.95696615534203,378.7883750702721,13.125557240412093,3.2402737254624934,0.9377474512868108,3.85801595741801,0.4877892552402151,7.483349438299701,0.8066250463735856,0.0440171169478767,381.813454263529,749.3391625967713,14.28774593028678
deep_learning,tft,bg_only,2.7399880142833246,0.773289271604949,3.02988076278417,0.4770700762039437,5.955315693013586,0.7773293267342289,0.0412535469599021,238.7262795525289,458.19828265466526,19.254276450392485,2.5069007136359147,0.6942634751855812,2.9815431099756347,0.5261524240833114,5.861496550515534,0.8180077885709285,0.019557354164682,205.0403719309061,393.1644613450475,16.916282516764745,2.435306024644128,0.6796536394025418,3.1000534844409184,0.545259847449909,6.0888773843990425,0.8364035462204008,0.0239260289415962,197.01031306985783,378.4456186237335,15.575007515982168,3.3157090769369937,0.9439479888935932,3.718175265206484,0.4684041303406912,7.212550310927407,0.7696247217584864,0.0444407357702672,419.95119595373376,821.4779124010765,18.42447950639101
deep_learning,tft,iob,2.655071764559458,0.751853427460362,3.0266159559209425,0.4768122986880351,5.90427149925959,0.773921753476314,0.0409341375929563,219.7488604181104,422.3333607496566,17.164360086564134,2.48997087742784,0.6813321134910315,2.830332813493192,0.5115789358536799,5.484971121212411,0.7932145357486655,0.0197389658624919,191.45278724799175,368.1531275502976,14.752446945685993,2.3848602065277635,0.6554357756156038,2.776834690554461,0.5191968351548271,5.427417082784999,0.804776440118397,0.0238483015812792,174.89972814064734,337.01320927311383,12.786247008180828,,,,,,,,,,
deep_learning,tft,iob_cob,2.617969063329428,0.7423169226880527,3.3293320453456583,0.5180223308979496,6.30416185889147,0.8079704807918925,0.0413412199558777,216.70066554306572,415.00025432824674,18.401076757884763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
