dataset,dataset_label,model,score,n,n_hypo,base_rate,operating_point,thr,tp,fp,fn,tn,sens,spec,ppv,npv,fp_per100,alarms_per100,ppv_lo,ppv_hi,fp_per100_lo,fp_per100_hi,spec_lo,spec_hi
aleppo_2017,Replace-BG,chronos2,point,4243,1047,0.2467593683714353,sens90,-7.909294605255127,943,2150,104,1046,0.9006685768863419,0.32728410513141426,0.30488199159392176,0.9095652173913044,50.67169455573887,72.8965354701862,0.28242125012318664,0.3252893585613154,47.48821588498704,55.19738392646712,0.2687151727501772,0.3677945230518953
aleppo_2017,Replace-BG,chronos2,point,4243,1047,0.2467593683714353,sens80,-7.146797180175781,838,1564,209,1632,0.8003820439350525,0.5106382978723404,0.3488759367194005,0.88647474198805,36.860711760546785,56.61088852227198,0.32547146606966504,0.38129792701730336,32.664977610181474,39.854466179589906,0.4731846405787868,0.5647714270636512
aleppo_2017,Replace-BG,chronos2,point,4243,1047,0.2467593683714353,youden,-5.772731304168701,564,501,483,2695,0.5386819484240688,0.8432415519399249,0.5295774647887324,0.8480176211453745,11.807683242988452,25.10016497761018,,,,,,
aleppo_2017,Replace-BG,moirai,point,4243,1047,0.2467593683714353,sens90,-7.396749973297119,943,2163,104,1033,0.9006685768863419,0.3232165206508135,0.3036059240180296,0.9085312225153914,50.97808154607589,73.20292246052321,0.2847044144837917,0.3272815906051302,46.78293660146123,54.13740278105114,0.28460451015124677,0.3774446877809399
aleppo_2017,Replace-BG,moirai,point,4243,1047,0.2467593683714353,sens80,-6.763522148132324,838,1567,209,1629,0.8003820439350525,0.5096996245306633,0.34844074844074846,0.8862894450489662,36.93141645062456,56.68159321234975,0.3212436235682699,0.37455239618094177,33.74911619137403,40.86731086495404,0.45801945553055007,0.5500629824811447
aleppo_2017,Replace-BG,moirai,point,4243,1047,0.2467593683714353,youden,-5.826091289520264,617,690,430,2506,0.5893027698185291,0.7841051314142679,0.4720734506503443,0.853542234332425,16.262078717888286,30.803676643884046,,,,,,
aleppo_2017,Replace-BG,toto,point,4243,1047,0.2467593683714353,sens90,-8.402520179748535,943,2309,104,887,0.9006685768863419,0.27753441802252815,0.28997539975399755,0.8950554994954592,54.419043129860945,76.64388404430827,0.26670347974827946,0.30854808509559417,51.70810747112892,59.6046429413151,0.210998751105661,0.3093285513188271
aleppo_2017,Replace-BG,toto,point,4243,1047,0.2467593683714353,sens80,-7.388245582580566,838,1749,209,1447,0.8003820439350525,0.4527534418022528,0.3239273289524546,0.873792270531401,41.22083431534292,60.97101107706811,0.2999898034853541,0.3536035637576739,36.53075654018383,44.8273627150601,0.40723272803690447,0.5146927654554752
aleppo_2017,Replace-BG,toto,point,4243,1047,0.2467593683714353,youden,-5.915231227874756,625,753,422,2443,0.5969436485195797,0.7643929912390488,0.45355587808417996,0.8527050610820245,17.746877209521564,32.47702097572472,,,,,,
aleppo_2017,Replace-BG,patchtst,point,4243,1047,0.2467593683714353,sens90,-8.389892578125,943,2214,104,982,0.9006685768863419,0.3072590738423029,0.2987012987012987,0.9042357274401474,52.18006127739807,74.4049021918454,0.2802161222615768,0.3194154956425314,48.998350223898186,55.43306622672637,0.2654454209449849,0.34842705499308685
aleppo_2017,Replace-BG,patchtst,point,4243,1047,0.2467593683714353,sens80,-7.69363260269165,838,1594,209,1602,0.8003820439350525,0.5012515644555695,0.34457236842105265,0.8845941468801767,37.56775866132453,57.31793542304973,0.32098243735230514,0.37022645767793283,34.52686778222955,40.77362715060099,0.4583190339222973,0.5425969818862714
aleppo_2017,Replace-BG,patchtst,point,4243,1047,0.2467593683714353,youden,-6.789485454559326,672,889,375,2307,0.6418338108882522,0.7218397997496871,0.4304932735426009,0.860178970917226,20.952156493047372,36.79000707046901,,,,,,
aleppo_2017,Replace-BG,tft,point,4243,1047,0.2467593683714353,sens90,-8.028549194335938,943,2212,104,984,0.9006685768863419,0.3078848560700876,0.2988906497622821,0.9044117647058824,52.132924817346215,74.35776573179355,0.2808090557280644,0.3207466562372274,48.73851048786236,55.196794720716476,0.2698254826483917,0.35179802517954345
