dataset,dataset_label,hour,window_label,n,mean_bg,std_bg,cv,hypo_count
aleppo_2017,Replace-BG,0,00:00-01:00,524539,9.401483798154189,3.6769731992720605,0.39110562526246845,17603
aleppo_2017,Replace-BG,1,01:00-02:00,528009,9.294597762538137,3.6756423615630416,0.3954600785821752,20720
aleppo_2017,Replace-BG,2,02:00-03:00,529652,9.20727413471487,3.6773807797113607,0.39939951020316194,21061
aleppo_2017,Replace-BG,3,03:00-04:00,530040,9.10225320730511,3.6716929376085927,0.4033828607033077,21848
aleppo_2017,Replace-BG,4,04:00-05:00,529947,8.935590653404962,3.622959970535617,0.4054527687159736,22380
aleppo_2017,Replace-BG,5,05:00-06:00,527724,8.693120400057605,3.5379263987671266,0.4069800297190963,22600
aleppo_2017,Replace-BG,6,06:00-07:00,522561,8.440889465536081,3.38981244388703,0.4015942227092939,22156
aleppo_2017,Replace-BG,7,07:00-08:00,514224,8.318445696816951,3.229705493990735,0.38825828907275073,20983
aleppo_2017,Replace-BG,8,08:00-09:00,508907,8.422388511063907,3.181489626192646,0.3777419697528016,18430
aleppo_2017,Replace-BG,9,09:00-10:00,507352,8.598956621832572,3.241610103323896,0.37697714337731575,17761
aleppo_2017,Replace-BG,10,10:00-11:00,508723,8.720560029721478,3.3342136099025255,0.38233939088072716,17529
aleppo_2017,Replace-BG,11,11:00-12:00,511243,8.623787768243279,3.3846177914114235,0.39247461583819704,19580
aleppo_2017,Replace-BG,12,12:00-13:00,514360,8.487696302200792,3.389016339956287,0.3992857683983747,22492
aleppo_2017,Replace-BG,13,13:00-14:00,516494,8.753170046505863,3.483727715739408,0.39799611994628864,21395
aleppo_2017,Replace-BG,14,14:00-15:00,516916,9.117702876289378,3.6004251505769322,0.3948829216556126,18099
aleppo_2017,Replace-BG,15,15:00-16:00,516655,9.211665037597623,3.6621390848339366,0.3975545213473169,18051
aleppo_2017,Replace-BG,16,16:00-17:00,515987,9.107645405795106,3.6495529827751843,0.4007131174049672,19176
aleppo_2017,Replace-BG,17,17:00-18:00,514127,8.859451166735067,3.617702238351125,0.4083438319446531,22091
aleppo_2017,Replace-BG,18,18:00-19:00,511212,8.68562656979883,3.60335104583781,0.4148636850641471,25421
aleppo_2017,Replace-BG,19,19:00-20:00,507727,8.810039942725124,3.653084700410854,0.4146501859423898,24128
aleppo_2017,Replace-BG,20,20:00-21:00,506032,9.02793177111329,3.769453666944198,0.4175323609561754,22888
aleppo_2017,Replace-BG,21,21:00-22:00,507606,9.255519674708335,3.813780602957545,0.41205472377516467,19650
aleppo_2017,Replace-BG,22,22:00-23:00,511817,9.42362389291485,3.775698405781414,0.4006631046279523,16573
aleppo_2017,Replace-BG,23,23:00-00:00,516317,9.46153188835541,3.70925207730426,0.39203504475521006,15546
brown_2019,DCLP3,0,00:00-01:00,373916,9.331259614458862,3.4949276541039636,0.37453975117020055,8269
brown_2019,DCLP3,1,01:00-02:00,374876,9.081207839392226,3.413307419554607,0.3758649157602639,8798
brown_2019,DCLP3,2,02:00-03:00,375157,8.827794043560429,3.3066487370584356,0.37457248331144766,8116
brown_2019,DCLP3,3,03:00-04:00,376349,8.598115233466807,3.1897582733105168,0.37098342912349974,7299
brown_2019,DCLP3,4,04:00-05:00,377088,8.36803332378649,3.093120118520319,0.3696352534505323,6667
brown_2019,DCLP3,5,05:00-06:00,377443,8.14762756230742,2.988605682774466,0.36680686002393664,6090
brown_2019,DCLP3,6,06:00-07:00,377073,7.939872093732513,2.8704563032185764,0.3615242499289661,6110
brown_2019,DCLP3,7,07:00-08:00,374889,7.971738567949445,2.7618724461820574,0.34645798060742083,5169
