dataset,dataset_label,model,metric,point,lo,hi,higher_is_better
aleppo_2017,Replace-BG,chronos2,rmse,2.6090161564291767,2.50817117657389,2.735831250623326,False
aleppo_2017,Replace-BG,moirai,rmse,2.7068508205244677,2.6018906541252824,2.8247412042712745,False
aleppo_2017,Replace-BG,toto,rmse,2.8642400088810027,2.7567683055702763,2.9789185095839676,False
aleppo_2017,Replace-BG,timesfm,rmse,2.709180319063102,2.6068654251716192,2.82865770165267,False
aleppo_2017,Replace-BG,patchtst,rmse,2.6788574107356498,2.5736432630424755,2.8013331497435976,False
aleppo_2017,Replace-BG,tft,rmse,2.617969063329428,2.525221241784374,2.7275541739672238,False
aleppo_2017,Replace-BG,tide,rmse,2.7360261671986024,2.6314865078062337,2.860014101503696,False
aleppo_2017,Replace-BG,deepar,rmse,2.8621463680680312,2.7488899276272973,2.992328933379982,False
aleppo_2017,Replace-BG,chronos2,wql,0.7377425591724988,0.7111158465222865,0.7698043895968625,False
aleppo_2017,Replace-BG,moirai,wql,0.7779899483073596,0.7494884563943353,0.8096859688104249,False
aleppo_2017,Replace-BG,toto,wql,0.819714381647949,0.7896312471976621,0.8534459928281989,False
aleppo_2017,Replace-BG,timesfm,wql,0.7704087679860927,0.7426039650682961,0.8024457746258218,False
aleppo_2017,Replace-BG,patchtst,wql,0.7701586201114765,0.7422293249217088,0.8036692905216678,False
aleppo_2017,Replace-BG,tft,wql,0.7423169226880527,0.7177425224473454,0.7706057978144644,False
aleppo_2017,Replace-BG,tide,wql,0.7868957158582055,0.7580738139046814,0.8216394138028986,False
aleppo_2017,Replace-BG,deepar,wql,0.847248657580568,0.8208920743447982,0.8767489792975092,False
aleppo_2017,Replace-BG,chronos2,dilate_shape,390.4487848453077,351.5498071223196,441.74915801206066,False
aleppo_2017,Replace-BG,moirai,dilate_shape,336.19434010824267,301.7384375171047,378.3278345038208,False
aleppo_2017,Replace-BG,toto,dilate_shape,387.8543501868599,355.2225681958758,426.1105927844027,False
aleppo_2017,Replace-BG,timesfm,dilate_shape,417.1108972644896,376.49733068062966,466.3588739033837,False
