dataset,dataset_label,model,axis,group,n,n_hypo,base_rate,rmse,auroc,auprc
lynch_2022,IOBP2,toto,age,older(>=31),1707,381,0.22319859402460457,2.31335862996898,0.6931192424476353,0.4626432359851787
lynch_2022,IOBP2,toto,age,younger(<31),1221,216,0.1769041769041769,2.8921981638937635,0.702155887230514,0.42515545244425185
lynch_2022,IOBP2,patchtst,sex,F,1463,258,0.17634996582365003,2.255578841990548,0.6795040046318633,0.39335328376862183
lynch_2022,IOBP2,patchtst,sex,M,1465,339,0.23139931740614333,2.632168070436841,0.6607394541462981,0.44143997081886965
lynch_2022,IOBP2,patchtst,age,older(>=31),1707,381,0.22319859402460457,2.2360332480509624,0.6741824127187721,0.44358019341735744
lynch_2022,IOBP2,patchtst,age,younger(<31),1221,216,0.1769041769041769,2.723761547950028,0.6661553344389164,0.38031176860725197
lynch_2022,IOBP2,tft,sex,F,1463,258,0.17634996582365003,2.1675724631125814,0.6037103155456914,0.3386630763881681
lynch_2022,IOBP2,tft,sex,M,1465,339,0.23139931740614333,2.5836786950886186,0.6212674934636927,0.4014865800902344
lynch_2022,IOBP2,tft,age,older(>=31),1707,381,0.22319859402460457,2.1571909648742857,0.614970922752303,0.3915690997541077
lynch_2022,IOBP2,tft,age,younger(<31),1221,216,0.1769041769041769,2.6708135630428433,0.6160862354892206,0.3428480367001761
tamborlane_2008,Tamborlane,chronos2,sex,F,5597,2243,0.400750402001072,3.2498871672148986,0.6459493937409726,0.5777473822411656
tamborlane_2008,Tamborlane,chronos2,sex,M,5185,1909,0.3681774349083896,3.291029524777431,0.6564459782113002,0.5599972961568337
tamborlane_2008,Tamborlane,chronos2,age,older(>=18),7058,2877,0.4076225559648626,3.0568817788633877,0.6492044426609378,0.5869680319090692
tamborlane_2008,Tamborlane,chronos2,age,younger(<18),3724,1275,0.34237379162191195,3.639155950732565,0.6507437209265089,0.5320503232154608
tamborlane_2008,Tamborlane,moirai,sex,F,5597,2243,0.400750402001072,3.325131839168087,0.6799318810977822,0.6075040071322231
tamborlane_2008,Tamborlane,moirai,sex,M,5185,1909,0.3681774349083896,3.3596693272315954,0.6914495855695437,0.6004711114131414
tamborlane_2008,Tamborlane,moirai,age,older(>=18),7058,2877,0.4076225559648626,3.122910911988819,0.6782324694604263,0.6144630087535718
