dataset,dataset_label,model,metric,point,lo,hi,n,unit
aleppo_2017,Replace-BG,chronos2,rmse,2.6090161564291767,2.5040949035218363,2.730014547646471,4243,patient
aleppo_2017,Replace-BG,chronos2,wql,0.7377425591724988,0.7097272029031662,0.7687798913928463,4243,patient
aleppo_2017,Replace-BG,chronos2,auroc,0.712414515278769,0.6863565094660262,0.7369316561401749,4243,patient
aleppo_2017,Replace-BG,chronos2,auprc,0.5361110040423949,0.4792790443639997,0.5881640591233317,4243,patient
aleppo_2017,Replace-BG,tft,rmse,2.617969063329428,2.520737736509328,2.72914698110838,4243,patient
aleppo_2017,Replace-BG,tft,wql,0.7423169226880527,0.7160957786163384,0.7713738416078496,4243,patient
aleppo_2017,Replace-BG,tft,auroc,0.7057529528912094,0.6797151349905667,0.7301328892306866,4243,patient
aleppo_2017,Replace-BG,tft,auprc,0.5335956262951849,0.47770890913688946,0.5848159364962815,4243,patient
aleppo_2017,Replace-BG,patchtst,rmse,2.6788574107356498,2.569521892345011,2.8016431202833605,4243,patient
aleppo_2017,Replace-BG,patchtst,wql,0.7701586201114765,0.7404785502392403,0.8027560969768981,4243,patient
aleppo_2017,Replace-BG,patchtst,auroc,0.7374000810468674,0.7114299068691357,0.7609801797536588,4243,patient
aleppo_2017,Replace-BG,patchtst,auprc,0.5707610462742646,0.5141837664231957,0.6216132166894787,4243,patient
aleppo_2017,Replace-BG,timesfm,rmse,2.709180319063102,2.6019398275227297,2.829091242472679,4243,patient
aleppo_2017,Replace-BG,timesfm,wql,0.7704087679860927,0.7408063522159108,0.8026132558322583,4243,patient
aleppo_2017,Replace-BG,timesfm,auroc,0.700298576420143,0.6791074455653756,0.7199500822544959,4243,patient
aleppo_2017,Replace-BG,timesfm,auprc,0.5270115047135013,0.4735964908194199,0.5751412027502792,4243,patient
aleppo_2017,Replace-BG,ttm,rmse,2.76942815365647,2.653766582389598,2.897747099788503,4243,patient
aleppo_2017,Replace-BG,ttm,wql,,,,4243,patient
aleppo_2017,Replace-BG,moirai,rmse,2.7068508205244677,2.601844054376735,2.824147291757084,4243,patient
aleppo_2017,Replace-BG,moirai,wql,0.7779899483073596,0.7486722652161159,0.8098474516655506,4243,patient
aleppo_2017,Replace-BG,moirai,auroc,0.7270978348054458,0.7029154825420036,0.7500661300002235,4243,patient
aleppo_2017,Replace-BG,moirai,auprc,0.5542247573425504,0.4987415981365536,0.6030950539830723,4243,patient
aleppo_2017,Replace-BG,toto,rmse,2.8642400088810027,2.755248430498922,2.9793633589726185,4243,patient
aleppo_2017,Replace-BG,toto,wql,0.819714381647949,0.7881846121826291,0.8534950522087049,4243,patient
aleppo_2017,Replace-BG,toto,auroc,0.7271991433895999,0.7000014393649735,0.7531377418605826,4243,patient
aleppo_2017,Replace-BG,toto,auprc,0.5607326768276292,0.5081354238159209,0.6096713676492959,4243,patient
aleppo_2017,Replace-BG,deepar,rmse,2.8621463680680312,2.7450331963855095,2.993596055145911,4243,patient
aleppo_2017,Replace-BG,deepar,wql,0.847248657580568,0.8189190569273731,0.8774136365270422,4243,patient
aleppo_2017,Replace-BG,deepar,auroc,0.7193492223445497,0.6958556529912371,0.7420858459092288,4243,patient
aleppo_2017,Replace-BG,deepar,auprc,0.5472926231043682,0.4947523020111333,0.5947088407782408,4243,patient
aleppo_2017,Replace-BG,tide,rmse,2.7360261671986024,2.626277868882453,2.861033631863152,4243,patient
aleppo_2017,Replace-BG,tide,wql,0.7868957158582055,0.7559451345939032,0.8213773187433824,4243,patient
aleppo_2017,Replace-BG,tide,auroc,0.7016236568394352,0.6732535343003104,0.7287588671577055,4243,patient
aleppo_2017,Replace-BG,tide,auprc,0.5208636326914907,0.460310015167379,0.579484138802927,4243,patient
brown_2019,DCLP3,chronos2,rmse,2.4321334886428674,2.261746352959632,2.6080295847975083,3809,patient
brown_2019,DCLP3,chronos2,wql,0.6686911535586176,0.6218782107338862,0.7201779569045569,3809,patient
brown_2019,DCLP3,chronos2,auroc,0.6515571282689496,0.6211239725272445,0.6831241887317272,3809,patient
brown_2019,DCLP3,chronos2,auprc,0.3452024782616606,0.28978392254441626,0.40639769415038746,3809,patient
brown_2019,DCLP3,tft,rmse,2.48997087742784,2.297436791545975,2.689025789509688,3809,patient
brown_2019,DCLP3,tft,wql,0.6813321134910315,0.6277205595114216,0.7391690740077078,3809,patient
brown_2019,DCLP3,tft,auroc,0.6454129814265188,0.6124781050422089,0.6815996539470275,3809,patient
brown_2019,DCLP3,tft,auprc,0.3393825481914448,0.2822920936686717,0.4054599798264106,3809,patient
brown_2019,DCLP3,patchtst,rmse,2.4769043427044197,2.318546457514298,2.645316563547741,3809,patient
brown_2019,DCLP3,patchtst,wql,0.7093885463921249,0.6671791899473287,0.7564497816590074,3809,patient
brown_2019,DCLP3,patchtst,auroc,0.7059801264912555,0.6737980745636541,0.7380485062768017,3809,patient
brown_2019,DCLP3,patchtst,auprc,0.3763760226780367,0.3236272678679209,0.4332235972357564,3809,patient
brown_2019,DCLP3,timesfm,rmse,2.488437184996495,2.3285484078056826,2.657441801185578,3809,patient
brown_2019,DCLP3,timesfm,wql,0.7095170282088589,0.6656230666913936,0.7571852290264653,3809,patient
brown_2019,DCLP3,timesfm,auroc,0.6537753728058001,0.6192023912143164,0.6903245469863851,3809,patient
brown_2019,DCLP3,timesfm,auprc,0.33517592986408046,0.28150508128446294,0.39698404324575864,3809,patient
brown_2019,DCLP3,ttm,rmse,2.5458231085058505,2.3934602470726936,2.7055695815313965,3809,patient
brown_2019,DCLP3,ttm,wql,,,,3809,patient
brown_2019,DCLP3,moirai,rmse,2.520496479025085,2.350870266153894,2.697142737753893,3809,patient
brown_2019,DCLP3,moirai,wql,0.7132536822472002,0.6643618000327898,0.7661517665952134,3809,patient
brown_2019,DCLP3,moirai,auroc,0.7197027106928875,0.6833393681163904,0.7552028942705654,3809,patient
brown_2019,DCLP3,moirai,auprc,0.3768907911382747,0.31402456459685457,0.4493122426473651,3809,patient
brown_2019,DCLP3,toto,rmse,2.6797831701154142,2.5137040521715583,2.8509972689470024,3809,patient
brown_2019,DCLP3,toto,wql,0.781310182739559,0.7347583382350699,0.8305228878988752,3809,patient
