dataset,dataset_label,model,metric,point,lo,hi,n,unit
brown_2019,DCLP3,moirai,auprc,0.36867650591280504,0.32542380005172106,0.41247916464024087,3809,episode
brown_2019,DCLP3,toto,rmse,2.6797831701154142,2.625866137299009,2.7337601038122803,3809,episode
brown_2019,DCLP3,toto,wql,0.781310182739559,0.767996331261876,0.7949294945436962,3809,episode
brown_2019,DCLP3,toto,auroc,0.7039145415886155,0.6771990664733932,0.730126064448723,3809,episode
brown_2019,DCLP3,toto,auprc,0.37930753275703666,0.33684739971833233,0.4223576441863077,3809,episode
brown_2019,DCLP3,deepar,rmse,2.732753686412925,2.665234895913346,2.8011744071162035,3809,episode
brown_2019,DCLP3,deepar,wql,0.8153202609313027,0.8017011419316784,0.8291479362956012,3809,episode
brown_2019,DCLP3,deepar,auroc,0.6851416023000289,0.6571459785559427,0.7129949803522675,3809,episode
brown_2019,DCLP3,deepar,auprc,0.3653644550790011,0.3233482179624784,0.4080406605653283,3809,episode
brown_2019,DCLP3,tide,rmse,2.509754882747835,2.452669055118717,2.568913949711457,3809,episode
brown_2019,DCLP3,tide,wql,0.7124160400273709,0.697900904916917,0.7274858987658046,3809,episode
brown_2019,DCLP3,tide,auroc,0.6782244748573133,0.6505002383538729,0.7056160536250363,3809,episode
brown_2019,DCLP3,tide,auprc,0.3433472533791734,0.3016379453566606,0.38553837560688,3809,episode
lynch_2022,IOBP2,chronos2,rmse,2.24831094065991,2.1713640913724834,2.328993924357871,2928,episode
lynch_2022,IOBP2,chronos2,wql,0.6136756792560158,0.5983378259337249,0.6295789524252587,2928,episode
lynch_2022,IOBP2,chronos2,auroc,0.6701015444734038,0.6445795702354827,0.6959876566921079,2928,episode
lynch_2022,IOBP2,chronos2,auprc,0.44016488439114265,0.40202037626725234,0.47921878713244837,2928,episode
lynch_2022,IOBP2,tft,rmse,2.384860206527764,2.3073121517831288,2.4644383075232272,2928,episode
lynch_2022,IOBP2,tft,wql,0.6554357756156038,0.6394043306515138,0.6719023860005562,2928,episode
lynch_2022,IOBP2,tft,auroc,0.6449216625096023,0.6194523334360758,0.6705724902997833,2928,episode
lynch_2022,IOBP2,tft,auprc,0.40773262166077173,0.3708739931479846,0.44528668091521073,2928,episode
lynch_2022,IOBP2,patchtst,rmse,2.451244781091121,2.384592671899433,2.519353215630394,2928,episode
lynch_2022,IOBP2,patchtst,wql,0.7049868951207703,0.690567422202985,0.7196665317436315,2928,episode
lynch_2022,IOBP2,patchtst,auroc,0.5797455747204491,0.5521121928015196,0.6074832582761425,2928,episode
lynch_2022,IOBP2,patchtst,auprc,0.3674607798540437,0.3322530559676232,0.4037052593154271,2928,episode
lynch_2022,IOBP2,timesfm,rmse,2.423418042103183,2.3427826480896785,2.5049683189913434,2928,episode
lynch_2022,IOBP2,timesfm,wql,0.6806695016646158,0.6650701255856317,0.6965548257148646,2928,episode
lynch_2022,IOBP2,timesfm,auroc,0.6190842673254735,0.5920503052904291,0.6459775695568011,2928,episode
lynch_2022,IOBP2,timesfm,auprc,0.3993592619118836,0.36243993620894904,0.43679631272074776,2928,episode
lynch_2022,IOBP2,ttm,rmse,2.5185909981485666,2.45305449835814,2.5845955721315486,2928,episode
lynch_2022,IOBP2,ttm,wql,,,,2928,episode
lynch_2022,IOBP2,ttm,auroc,0.5741053328993028,0.5466989874445061,0.6026494768500814,2928,episode
lynch_2022,IOBP2,ttm,auprc,0.3629198163929864,0.32733635068104316,0.39991398907333287,2928,episode
lynch_2022,IOBP2,moirai,rmse,2.4346712096570453,2.3552391030319035,2.5160551142821066,2928,episode
lynch_2022,IOBP2,moirai,wql,0.6785577991305015,0.6620162804140289,0.6955870654383595,2928,episode
lynch_2022,IOBP2,moirai,auroc,0.6558999775080177,0.6293461018225288,0.6820205910496628,2928,episode
lynch_2022,IOBP2,moirai,auprc,0.4213390492838258,0.3825140195142912,0.46104425944934646,2928,episode
lynch_2022,IOBP2,toto,rmse,2.5706321735284234,2.5040612210276647,2.6382846671049744,2928,episode
lynch_2022,IOBP2,toto,wql,0.7582782246376453,0.744079937954369,0.7725843206570546,2928,episode
lynch_2022,IOBP2,toto,auroc,0.634863866019645,0.608642425396924,0.6614070638026932,2928,episode
lynch_2022,IOBP2,toto,auprc,0.39897561558112593,0.36207362656641856,0.4390530479016487,2928,episode
lynch_2022,IOBP2,deepar,rmse,2.629881776926638,2.560401453928881,2.699933368087748,2928,episode
lynch_2022,IOBP2,deepar,wql,0.7800569172056889,0.7655799438668774,0.7946939771396986,2928,episode
lynch_2022,IOBP2,deepar,auroc,0.5940355287088956,0.5670382836696759,0.6211817724583516,2928,episode
lynch_2022,IOBP2,deepar,auprc,0.37274662918491014,0.3348434789122013,0.41187719537921635,2928,episode
lynch_2022,IOBP2,tide,rmse,2.5143690809214956,2.447557703859037,2.582320766114799,2928,episode
lynch_2022,IOBP2,tide,wql,0.7195863892340818,0.703874228623956,0.7355544307456955,2928,episode
lynch_2022,IOBP2,tide,auroc,0.5512518979855663,0.523038491102818,0.5798625573641615,2928,episode
lynch_2022,IOBP2,tide,auprc,0.34133678901620257,0.3060513455736562,0.3771988703312374,2928,episode
tamborlane_2008,Tamborlane,chronos2,rmse,3.2697369002867704,3.2341167262177897,3.3048497731922413,10782,episode
tamborlane_2008,Tamborlane,chronos2,wql,0.93121390379931,0.9224865248434796,0.9399378043702812,10782,episode
tamborlane_2008,Tamborlane,chronos2,auroc,0.6797354198089494,0.6694684148563868,0.6900088706443794,10782,episode
tamborlane_2008,Tamborlane,chronos2,auprc,0.6103448576116877,0.5957578754738522,0.625127665408078,10782,episode
tamborlane_2008,Tamborlane,tft,rmse,3.3157090769369946,3.2792552772979384,3.351695721396981,10782,episode
tamborlane_2008,Tamborlane,tft,wql,0.9439479888935933,0.9347361555936992,0.9531458843017541,10782,episode
tamborlane_2008,Tamborlane,tft,auroc,0.6487185481128868,0.6382583269089378,0.6592949718104251,10782,episode
tamborlane_2008,Tamborlane,tft,auprc,0.5784374946008326,0.5640872842853484,0.5932623766176695,10782,episode
tamborlane_2008,Tamborlane,patchtst,rmse,3.240273725462494,3.2066342396893326,3.2739812983800767,10782,episode
tamborlane_2008,Tamborlane,patchtst,wql,0.9377474512868108,0.9290317091261913,0.9464772273435447,10782,episode
tamborlane_2008,Tamborlane,patchtst,auroc,0.6584628208034362,0.6480245736845991,0.6690003939249747,10782,episode
tamborlane_2008,Tamborlane,patchtst,auprc,0.5871557692928074,0.5726247537393776,0.6018399690970421,10782,episode
tamborlane_2008,Tamborlane,timesfm,rmse,3.261152576051211,3.2260055807271866,3.295400879464316,10782,episode
tamborlane_2008,Tamborlane,timesfm,wql,0.9379954401390572,0.9294021761125594,0.9465786786652045,10782,episode
tamborlane_2008,Tamborlane,timesfm,auroc,0.6716826033066258,0.6613986745311639,0.6820919565701836,10782,episode
tamborlane_2008,Tamborlane,timesfm,auprc,0.5976072134759931,0.5830667193109289,0.6121696969774307,10782,episode
tamborlane_2008,Tamborlane,ttm,rmse,3.2575103117188133,3.2247145542566322,3.290170797127686,10782,episode
tamborlane_2008,Tamborlane,ttm,wql,,,,10782,episode
tamborlane_2008,Tamborlane,ttm,auroc,0.6539835424313493,0.6434691141429719,0.6644946155759512,10782,episode
tamborlane_2008,Tamborlane,ttm,auprc,0.578326106834249,0.5638083163191094,0.592941002414791,10782,episode
tamborlane_2008,Tamborlane,moirai,rmse,3.3417852662528666,3.308023643220083,3.375778673663399,10782,episode
tamborlane_2008,Tamborlane,moirai,wql,0.972039668728225,0.963377704630415,0.9808370487442836,10782,episode
tamborlane_2008,Tamborlane,moirai,auroc,0.6753886077181726,0.6652418875923786,0.6854941261382087,10782,episode
tamborlane_2008,Tamborlane,moirai,auprc,0.5979191790376249,0.5832301120553871,0.6127009649291065,10782,episode
tamborlane_2008,Tamborlane,toto,rmse,3.3397985154988477,3.305232401435571,3.3743866551753365,10782,episode
tamborlane_2008,Tamborlane,toto,wql,0.9682322854245121,0.9595759821007753,0.9769588948975155,10782,episode
tamborlane_2008,Tamborlane,toto,auroc,0.6882603415606646,0.6780677354189277,0.6984802379729664,10782,episode
tamborlane_2008,Tamborlane,toto,auprc,0.6130789572155273,0.5983732023783616,0.6280063900876247,10782,episode
tamborlane_2008,Tamborlane,deepar,rmse,3.53740394778911,3.4985770066758657,3.5756478217966188,10782,episode
tamborlane_2008,Tamborlane,deepar,wql,1.016582809609567,1.00707858145734,1.0261823654763618,10782,episode
tamborlane_2008,Tamborlane,deepar,auroc,0.6550875189263492,0.6443949511924587,0.6657970998430912,10782,episode
tamborlane_2008,Tamborlane,deepar,auprc,0.5816706485402677,0.5659641471039025,0.5974223155378288,10782,episode
tamborlane_2008,Tamborlane,tide,rmse,3.302286779445118,3.268601694602258,3.336489759907374,10782,episode
tamborlane_2008,Tamborlane,tide,wql,0.9618415746201081,0.9525175125002289,0.971225114356086,10782,episode
tamborlane_2008,Tamborlane,tide,auroc,0.6539914617099248,0.6434500097329875,0.6646196531570961,10782,episode
tamborlane_2008,Tamborlane,tide,auprc,0.5840528622493351,0.5695333957684484,0.5991938552188512,10782,episode
