dataset,dataset_label,model,rmse_zs,rmse_ft,rmse_delta,rmse_lo,rmse_hi,rmse_p,rmse_sig,n_patients,wql_zs,wql_ft,wql_delta,wql_lo,wql_hi,wql_p,wql_sig
aleppo_2017,Replace-BG,chronos2,2.764869475600113,2.6090161564291767,0.15585331917093637,0.11986781534345668,0.19487156641999812,0.0,True,221,0.7948016303189123,0.7377425591724988,0.05705907114641351,0.04687295050334616,0.06831398372612205,0.0,True
aleppo_2017,Replace-BG,moirai,3.146544425099461,2.7068508205244677,0.4396936045749933,0.3721533878006122,0.5076777968673424,0.0,True,221,0.9091532773891016,0.7779899483073596,0.131163329081742,0.11358423706341365,0.14944255182104654,0.0,True
aleppo_2017,Replace-BG,moment,3.7710674260365344,3.3154519571359775,0.45561546890055693,0.41825618748384846,0.4930713616981971,0.0,True,221,,,,,,0.0,False
aleppo_2017,Replace-BG,timesfm,2.7666486005452806,2.709180319063102,0.05746828148217853,0.025425391371465378,0.09001600461747766,0.0016,True,221,0.7966801076308468,0.7704087679860927,0.026271339644754144,0.017794173540849088,0.035062989103560635,0.0,True
aleppo_2017,Replace-BG,ttm,2.9212297786160772,2.76942815365647,0.15180162495960703,0.09496761058086065,0.20940313605409555,0.0,True,221,,,,,,0.0,False
aleppo_2017,Replace-BG,toto,2.8642400088810027,2.9257575021388638,-0.061517493257861044,-0.13168925904252549,0.010039446662974497,0.0948,False,221,0.819714381647949,0.8504433140297405,-0.03072893238179153,-0.05116308853435219,-0.010656612556423615,0.002,True
brown_2019,DCLP3,chronos2,2.6495000209189037,2.4321334886428674,0.2173665322760363,0.1404382197842678,0.30873720756113227,0.0,True,167,0.7590502869938227,0.6686911535586176,0.09035913343520507,0.06784007538598347,0.1153311293416404,0.0,True
brown_2019,DCLP3,moirai,3.156557204076233,2.520496479025085,0.6360607250511481,0.5184706528388671,0.7510972439616537,0.0,True,167,0.9043565104098171,0.7132536822472002,0.19110282816261692,0.1612644610752654,0.22106336668472823,0.0,True
brown_2019,DCLP3,moment,3.5561096840633604,3.0213336897896643,0.534775994273696,0.46404581505282433,0.6100466847903713,0.0,True,167,,,,,,0.0,False
brown_2019,DCLP3,timesfm,2.660509656828326,2.488437184996495,0.1720724718318314,0.11397226681331821,0.23989889504389053,0.0,True,167,0.7622758982421952,0.7095170282088589,0.05275887003333635,0.036945947684962004,0.07061457275120743,0.0,True
brown_2019,DCLP3,ttm,2.843499270383781,2.5458231085058505,0.29767616187793067,0.23903079053660098,0.35394568683194544,0.0,True,167,,,,,,0.0,False
brown_2019,DCLP3,toto,2.9091500194663227,2.6797831701154142,0.22936684935090845,0.1529516257544984,0.30431813548988995,0.0,True,167,0.8310629862084938,0.781310182739559,0.04975280346893485,0.02998080318045195,0.06953077844187029,0.0,True
lynch_2022,IOBP2,chronos2,2.6724399111363493,2.24831094065991,0.42412897047643927,0.37190976468347137,0.47819128307934616,0.0,True,307,0.7677072895026146,0.6136756792560158,0.15403161024659873,0.1402962112532248,0.16854789916971413,0.0,True
lynch_2022,IOBP2,moirai,3.3064181865783078,2.4346712096570453,0.8717469769212625,0.7757696498376433,0.9728780591298922,0.0,True,307,0.9569730472234543,0.6785577991305015,0.2784152480929528,0.25449218554184916,0.3035649923144751,0.0,True
lynch_2022,IOBP2,moment,3.4826775514437682,2.919593432497105,0.5630841189466631,0.5231822353735334,0.6046880342182224,0.0,True,307,,,,,,0.0,False
lynch_2022,IOBP2,timesfm,2.6661968708179815,2.423418042103183,0.2427788287147985,0.20973928306978837,0.27900580437033223,0.0,True,307,0.7676163324120442,0.6806695016646158,0.08694683074742837,0.07749595163793545,0.09740697288791364,0.0,True
lynch_2022,IOBP2,ttm,3.0014525117923596,2.5185909981485666,0.48286151364379304,0.43486738230088545,0.5301217777216644,0.0,True,307,,,,,,0.0,False
lynch_2022,IOBP2,toto,2.9682441033165086,2.5706321735284234,0.39761192978808513,0.3388850804901724,0.45915580246392773,0.0,True,307,0.8485209412607216,0.7582782246376453,0.09024271662307637,0.07732621537673096,0.10353399214371499,0.0,True
tamborlane_2008,Tamborlane,chronos2,3.353553374912767,3.2697369002867704,0.0838164746259964,0.0697573662543358,0.09908602760616764,0.0,True,430,0.9554019795945571,0.93121390379931,0.024188075795247066,0.020804673708808973,0.027956638137441488,0.0,True
tamborlane_2008,Tamborlane,moirai,3.6646345608009963,3.3417852662528666,0.3228492945481296,0.2873270343212888,0.35858783307490155,0.0,True,430,1.0616289136108201,0.972039668728225,0.08958924488259512,0.0797975020232202,0.09965511711409196,0.0,True
tamborlane_2008,Tamborlane,moment,3.9553240089648463,3.5069515713687487,0.4483724375960976,0.4285814574817172,0.4683202356367217,0.0,True,430,,,,,,0.0,False
tamborlane_2008,Tamborlane,timesfm,3.353821606233027,3.261152576051211,0.09266903018181605,0.08096422686453787,0.10634884612950578,0.0,True,430,0.9550548437427989,0.9379954401390572,0.017059403603741696,0.014257820631699544,0.020269539682227996,0.0,True
tamborlane_2008,Tamborlane,ttm,3.4240822095304138,3.2575103117188133,0.16657189781160042,0.14578332799144147,0.1873421671379147,0.0,True,430,,,,,,0.0,False
tamborlane_2008,Tamborlane,toto,3.4714840648234024,3.3397985154988477,0.13168554932455478,0.1078775246151129,0.15516268803868294,0.0,True,430,0.9936665359425524,0.9682322854245121,0.02543425051804027,0.019246283037093918,0.0318183478243698,0.0,True
