run_id,run_path,checkpoint,experiment_type,ctx_fh,model,dataset,mode,cov_bucket,timestamp,context_length,forecast_length,rmse,mae,mape,mse,wql,brier_3_9,mace,coverage_50,coverage_80,coverage_90,coverage_95,sharpness_50,sharpness_80,sharpness_90,sharpness_95,dilate_g0001,shape_g0001,temporal_g0001,dilate_g001,shape_g001,temporal_g001,dilate_g01,shape_g01,temporal_g01,total_episodes,git_commit
2026-04-25_204552_aleppo_2017_finetuned,experiments/nocturnal_forecasting_ctx_ablation/512ctx_96fh/chronos2/2026-04-25_204552_aleppo_2017_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-25_0843_RID20260425_084356_257848_08_bg_iob_cob_high_lr/model.pt,nocturnal_forecasting_ctx_ablation,512ctx_96fh,chronos2,aleppo_2017,finetuned,iob_cob,2026-04-25 20:48:00.907702,512,96,2.6090161564291763,,,,0.7377425591724988,0.04087942514357403,0.0029008563123576175,0.4989418846727945,0.7928082528085474,,,3.2239761202734334,6.125879490636691,,,203.5526392296001,390.6648299089265,16.44044855027368,203.53774245055823,390.4487848453077,16.626700055808698,200.75313842434042,385.4900900191377,16.01618682954317,4243,ed8f7fc
2026-04-25_204508_aleppo_2017_finetuned,experiments/nocturnal_forecasting_ctx_ablation/256ctx_96fh/chronos2/2026-04-25_204508_aleppo_2017_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-25_0612_RID20260425_061251_257849_13_bg_iob_cob_high_lr_ctx256/model.pt,nocturnal_forecasting_ctx_ablation,256ctx_96fh,chronos2,aleppo_2017,finetuned,iob_cob,2026-04-25 20:47:25.29493,256,96,2.6908572522025658,,,,0.767365754755644,0.04158977158675264,0.0026545901310218952,0.5117374695577029,0.8025546979338518,,,3.4432664384825595,6.596040881751108,,,223.2596282207419,429.2118468544521,17.307409587031625,223.22960143575784,429.00626573327185,17.452937138243882,220.4704434838075,424.2448081814379,16.69607878617701,4243,ed8f7fc
2026-04-25_204517_aleppo_2017_finetuned,experiments/nocturnal_forecasting_ctx_ablation/128ctx_96fh/chronos2/2026-04-25_204517_aleppo_2017_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-25_1212_RID20260425_121255_257850_14_bg_iob_cob_high_lr_ctx128/model.pt,nocturnal_forecasting_ctx_ablation,128ctx_96fh,chronos2,aleppo_2017,finetuned,iob_cob,2026-04-25 20:47:33.83312,128,96,2.883359559856833,,,,0.8357404247367688,0.04442897293349684,0.007907632178490052,0.5265609042344254,0.8149501139131117,,,3.9200084570094957,7.571227605820232,,,274.48836859026295,531.8900380562372,17.086699124288632,274.46522591987633,531.7122325359588,17.218219303793816,271.9419405393705,527.3877600700044,16.496121008736555,4243,ed8f7fc
2026-04-25_204542_aleppo_2017_finetuned,experiments/nocturnal_forecasting_ctx_ablation/64ctx_96fh/chronos2/2026-04-25_204542_aleppo_2017_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-25_1051_RID20260425_105134_257852_15_bg_iob_cob_high_lr_ctx64/model.pt,nocturnal_forecasting_ctx_ablation,64ctx_96fh,chronos2,aleppo_2017,finetuned,iob_cob,2026-04-25 20:47:59.046497,64,96,3.026236375757433,,,,0.8853422540720268,0.0536606344554383,0.013210756714763306,0.5408515987116034,0.8310378859297667,,,4.253073952125437,8.7384903046712,,,326.822736931815,636.2504754915238,17.394998372106002,326.7902541913601,636.0790617210363,17.501446661683847,324.30849877125365,631.9205911005016,16.696406442005735,4243,ed8f7fc
2026-04-25_204319_brown_2019_finetuned,experiments/nocturnal_forecasting_ctx_ablation/512ctx_96fh/chronos2/2026-04-25_204319_brown_2019_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-24_1029_RID20260424_102928_135911_04_bg_iob_ia_high_lr/model.pt,nocturnal_forecasting_ctx_ablation,512ctx_96fh,chronos2,brown_2019,finetuned,iob,2026-04-25 20:44:51.766367,512,96,2.4531631922647015,,,,0.6733711802855049,0.019445594103145784,0.013121396205867195,0.4982798416032204,0.7890194276713048,,,2.8060817969779577,5.431831054878488,,,185.26987320704941,355.97592807785617,14.563818336242662,185.21548192047447,355.75870911349676,14.672254727452204,182.18555416883896,350.5539724643869,13.817135873290981,3809,ed8f7fc
2026-04-25_204319_brown_2019_finetuned,experiments/nocturnal_forecasting_ctx_ablation/256ctx_96fh/chronos2/2026-04-25_204319_brown_2019_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-25_0600_RID20260425_060004_257850_10_bg_iob_ia_high_lr_ctx256/model.pt,nocturnal_forecasting_ctx_ablation,256ctx_96fh,chronos2,brown_2019,finetuned,iob,2026-04-25 20:45:00.948883,256,96,2.5139374476568754,,,,0.6969699500798388,0.0198537982467549,0.019441770465661243,0.5349173011289052,0.8179448892972783,,,3.1457711684677223,6.115403152620833,,,199.93721608241557,384.7351635877185,15.139268577112674,199.87545226579527,384.5315436207299,15.21936091086063,196.88001467771576,379.5232634095844,14.236765945847086,3809,ed8f7fc
2026-04-25_204506_brown_2019_finetuned,experiments/nocturnal_forecasting_ctx_ablation/128ctx_96fh/chronos2/2026-04-25_204506_brown_2019_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-25_0433_RID20260425_043312_257852_11_bg_iob_ia_high_lr_ctx128/model.pt,nocturnal_forecasting_ctx_ablation,128ctx_96fh,chronos2,brown_2019,finetuned,iob,2026-04-25 20:46:44.256421,128,96,2.8030471948311644,,,,0.8088000670127606,0.02129498055146354,0.053508138619060126,0.5253183250196902,0.8057232869519559,,,3.6908788775151966,7.146834344374671,,,271.55829637167983,526.8121932875578,16.304399455801914,271.5132652713612,526.6436414986722,16.382889044050128,268.9187273473391,522.3685325061863,15.468922188491772,3809,ed8f7fc
2026-04-25_204516_brown_2019_finetuned,experiments/nocturnal_forecasting_ctx_ablation/64ctx_96fh/chronos2/2026-04-25_204516_brown_2019_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-25_1413_RID20260425_141311_257848_12_bg_iob_ia_high_lr_ctx64/model.pt,nocturnal_forecasting_ctx_ablation,64ctx_96fh,chronos2,brown_2019,finetuned,iob,2026-04-25 20:46:53.878713,64,96,3.0544575786775843,,,,0.8908698287940965,0.027547928473164382,0.06356017181529129,0.5170457031591844,0.7971771899886235,,,4.006672844183477,8.258131971604124,,,344.1999508605037,671.0428581403695,17.357043580637896,344.15956567459324,670.8888775532039,17.43025379598268,341.70628551228765,666.955153298675,16.457417725900324,3809,ed8f7fc
2026-04-25_204319_lynch_2022_finetuned,experiments/nocturnal_forecasting_ctx_ablation/512ctx_96fh/chronos2/2026-04-25_204319_lynch_2022_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-24_1029_RID20260424_102928_135911_04_bg_iob_ia_high_lr/model.pt,nocturnal_forecasting_ctx_ablation,512ctx_96fh,chronos2,lynch_2022,finetuned,iob,2026-04-25 20:44:59.696236,512,96,2.2584035445276562,,,,0.6200549141563524,0.02372563169869492,0.008237436121230521,0.5205914162112932,0.8071031136156648,,,2.6889937947205653,5.259384721882289,,,146.68855081988457,283.0918691482045,10.285232491564605,146.6385969416526,282.8798445365711,10.397349346734076,143.69762162880076,277.5088072020017,9.886436055599784,2928,ed8f7fc
2026-04-25_204319_lynch_2022_finetuned,experiments/nocturnal_forecasting_ctx_ablation/256ctx_96fh/chronos2/2026-04-25_204319_lynch_2022_finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/chronos2/2026-04-25_0600_RID20260425_060004_257850_10_bg_iob_ia_high_lr_ctx256/model.pt,nocturnal_forecasting_ctx_ablation,256ctx_96fh,chronos2,lynch_2022,finetuned,iob,2026-04-25 20:45:08.763451,256,96,2.4466383810809536,,,,0.6823770003347126,0.024263482896839866,0.012087159734871499,0.5395676798724954,0.8254745844717669,,,3.1271724375367733,6.10795016282277,,,180.61976582865242,349.1436519597142,12.095879697590677,180.57860359738132,348.95132803090127,12.20587916386141,177.8405575273562,344.0199944770881,11.661120577624246,2928,ed8f7fc
